skill;check_line;backward_text
Athletics;make an athletics check for her. She has advantage;That is-- these dice-- That's a 17. Cool. That's one success. Yeah. All right. Deez dice. At the end of Vera's turn, this goes away. Oh. Yeah, which sucks for us, and now they can get to us faster. The sleet and stuff has now melted and dripped off the sides. These guards here-- (guard impression) "What's all this, then?" (counting) 30 on each side, and they're both going to attempt to grapple Yasha. Go ahead and
Acrobatics;acrobatics or athletics check to see if he doesn't;other guy's going to attempt to-- Make another check. She has to beat a 16. 12, and that's a 21. Yeah, they just can't-- they try and grab her, and she shrugs them off, no problem. These other guards here begin to swarm up to try and grab Nott. This one's going to move up and try and grab Yasha. This one here is going to-- He tries to move forward towards Yasha, and ends up chest-bumping space in the middle of the air, and confusedly is going to try and grapple whatever's there. He has disadvantage on that, so first, I'm going to do that with you. Rolled really well with disadvantage, natural 19 and a natural 17. Make an
Athletics;acrobatics or athletics check to see if he doesn't;other guy's going to attempt to-- Make another check. She has to beat a 16. 12, and that's a 21. Yeah, they just can't-- they try and grab her, and she shrugs them off, no problem. These other guards here begin to swarm up to try and grab Nott. This one's going to move up and try and grab Yasha. This one here is going to-- He tries to move forward towards Yasha, and ends up chest-bumping space in the middle of the air, and confusedly is going to try and grapple whatever's there. He has disadvantage on that, so first, I'm going to do that with you. Rolled really well with disadvantage, natural 19 and a natural 17. Make an
Acrobatics;MATT: You roll an acrobatics check against them.;20. 16. She is currently grappled by this guy. He's now grabbed and is holding her in place. She's (grunting). The two other guys are going to try to dogpile in to try to stop her from moving. We have three attempting to grapple you, Nott. Three? Yes. You're tiny. You're dexy. Sure, sure. Here we go. Slippy. All right, so first guy-- Do they roll? Do I roll?
Persuasion;MATT: Make a persuasion check.;(laughter) That would've been great! That was my next move. Oh, man. All right, that ends. Top of the round. All right, so, Beau. The guards are there in front of you right now. There's three of them shoulder to shoulder, and there's one of them that looks-- the one in the center is a little better-armored. They go, "Hey, Miss, Miss, where "are you going?" They're looking at you and both looking at what's over there. I have requested evidence for the Plank King. He wants to see me directly. It's Avantika. There's a coup. She's trying to take over the city with a demon god.
Deception;MATT: Make a deception check.;Thank you for that clarification. No worries. That ends the barlgura's turn. Jester, you're up. Okay. You've ducked to the side. You've cast Disguise Self on yourself. To look like a pirate. Okay. Yeah. I'm going to-- Like a pirate. I'm going to walk out and start shouting at guards nearby. Avantika's attacking everyone! I heard 'em say it! Avantika's-- She's finally doing it! She's trying to take over! She's finally doing it!
Athletics;MATT: All right, make an athletics check with;Okay. You're up ahead and you hear this in the back, but you don't know it's Jester. You just hear a lot of shouting, so you're like, "Oh man, my deception worked, other people are yelling this!" I go: See? To the guards next to me. Perfect. (nonsensical rabble rousing) That finishes Jester's turn. It's Yasha's go. Yasha is currently grappled, but you can still make her actions. She has to use an action to break free if she wants to to move, but otherwise her movement is zero. But she has advantage because she's still raging. She's going to try to break the grapple.
Acrobatics;MATT: Make your acrobatics or athletics check to;30 feet. Yeah, with the Misty Step and the movement you had. So you are 30 feet from him. Amazing. I will use my 30 feet of movement to close to Caleb. As you do, you rush past some of the guards that are on the opposite side that were rushing towards you. There's, I believe at this point, four of them that were heading your direction, because there was the one that was going towards Caleb. So we'll say two of them you'll have to push past. They both are going to make attacks of opportunity on you. Just an attempt to grapple to stop. Okay.
Athletics;MATT: Make your acrobatics or athletics check to;30 feet. Yeah, with the Misty Step and the movement you had. So you are 30 feet from him. Amazing. I will use my 30 feet of movement to close to Caleb. As you do, you rush past some of the guards that are on the opposite side that were rushing towards you. There's, I believe at this point, four of them that were heading your direction, because there was the one that was going towards Caleb. So we'll say two of them you'll have to push past. They both are going to make attacks of opportunity on you. Just an attempt to grapple to stop. Okay.
Acrobatics;stop you. Make two acrobatics checks.;resist, combat comes to an end and we are now at a role playing point. At that moment, we'll take a break. Unless you were doing anything? Are you resisting? I'm running. I'm not going back to jail! We'll take a break in a second, then. I'm never going back! Because when it gets to Nott's turn-- Yeah, I'm going to bolt. Okay. If that's the case, there are four guards now. No, because now two of them have changed direction to go towards you and help subdue you guys. There's two after you now. They're both going to attempt to grapple you and
Performance;MATT: Make a performance check to see how subtly;their side. Not yours. They couldn't find yours. I wonder why. They have your crossbow, and they've taken your shield and your staff. Am I within range of everybody? Could I be in the crowd, but near everyone? (laughter) There is a small perimeter being held, but you could get probably within 20, 25 feet or so of them. Then, if I'm within 30 feet, I'm going to cast Prayer of Healing on my buds. Okay. What? On your buds? On my buddies!
Deception;LAURA: A deception check. Okay.;They have your crossbow, and they've taken your shield and your staff. Am I within range of everybody? Could I be in the crowd, but near everyone? (laughter) There is a small perimeter being held, but you could get probably within 20, 25 feet or so of them. Then, if I'm within 30 feet, I'm going to cast Prayer of Healing on my buds. Okay. What? On your buds? On my buddies! Make a performance check to see how subtly you can-- no, this would be deception. Make a deception.
Deception;MATT: Make a deception check.;"Because I wanted to see if you'd actually do something. Remember, we don't turn on pirates here." What do I get when I'm right? "If you're right, then I'll judge you based on the fact that you broke our law as soon as you "got here, and I'll weigh it versus how positive this tells me. There's not enough, well, maybe you "and Avantika will find yourselves out there on a pike of warning." How about we strike a deal right now? Because when you go down there, you're going to see murdered crew mates and a U burned into the deck of that ship from where she was trying to summon Uk'otoa.
Deception;MATT: His eyes narrow. Make a deception check.;Well, we're from Wildemount. Hired mercenaries from the Empire. I'm with a secret order of the monks from the Cobalt Soul, known as the Expositors. Avantika has been a person of interest that we've been wanting to investigate for some time, and I was sent to do that. So, unfortunately, our business has nothing to do with you fine folk here of Darktow. It only has to deal with Avantika. She's disrupted our shores enough. We decided to investigate. "Where does your allegiance lie?" My allegiance is completely separate and isolated from any persons here. My allegiance is with the Cobalt Soul.
Insight;MATT: Insight check.;for some time, and I was sent to do that. So, unfortunately, our business has nothing to do with you fine folk here of Darktow. It only has to deal with Avantika. She's disrupted our shores enough. We decided to investigate. "Where does your allegiance lie?" My allegiance is completely separate and isolated from any persons here. My allegiance is with the Cobalt Soul. His eyes narrow. Make a deception check. I'll say with advantage because you did drop the Cobalt Soul. In particular with the Plank King, that has meaning. I would like to read her as well.
Persuasion;MATT: Make a persuasion check.;"asunder in the middle of the ocean. That was the last he was seen. He's already killed one of our "own. Is this untrue?" (stuttering) Is she talking to me? Yeah. From the crowd, I'm going to go: She's lying! We always knew she had it in for the Plank King! Someone goes, "Shh!" All eyes are on you. Plank King, if I may. My ears, though pointy, can only stand a certain amount of dishonesty. I would prefer to cut through the bull. There are those of us among us who can make sure that the truth is spoken here. I would beg of you to allow that to happen now.
Intimidation;MATT: Intimidation checks? Oh, charisma checks!;Mine, I'm assuming, which is 14. Hang on. Features and traits. Yeah, whatever your DC is for all of your monk stuff. (whispering) Monk stuff! Yeah, 14. Okay. It's a wisdom save. No. That's a natural eight plus four. 12. So all these different hits and pressure points are hit, like under the chin, that area. Another to the sternum and another that clocks the temple. And Avantika just, "Ugh!" (heavy breathing) They are unable to speak a deliberate lie for one minute and all charisma checks have advantage.
Investigation;investigation-- No, this'll be a perception check;We'll make do. We will leave with great haste. "Good. Tell the Archives that the Plank King sends his regards." Will do, good sir. "Now fucking go!" Before everybody gets on the boat, can I run over to the docks because I'm not shackled, and I try to find the jewels that I dumped off the docks. Okay. You have to dive into the water to do so. Okay. So, you jump into the water. Make an
Perception;investigation-- No, this'll be a perception check;We'll make do. We will leave with great haste. "Good. Tell the Archives that the Plank King sends his regards." Will do, good sir. "Now fucking go!" Before everybody gets on the boat, can I run over to the docks because I'm not shackled, and I try to find the jewels that I dumped off the docks. Okay. You have to dive into the water to do so. Okay. So, you jump into the water. Make an
Persuasion;MATT: Make a general persuasion check for me. Just;quarters and turn it upside down. Ooh, you are turning me on right now. Not my intention, but go ahead. Yes! Okay. Just in case she booby trapped this ship, search the hull, search her quarters, search everything. Yeah, check for traps first, okay? I'll be doing that at disadvantage. I'm going to try and calm the crew a little bit. Okay. I'll point out that we're-- this is all good. We got away from the pirates, everything's all right.
Persuasion;a persuasion check.;Ooh, you are turning me on right now. Not my intention, but go ahead. Yes! Okay. Just in case she booby trapped this ship, search the hull, search her quarters, search everything. Yeah, check for traps first, okay? I'll be doing that at disadvantage. I'm going to try and calm the crew a little bit. Okay. I'll point out that we're-- this is all good. We got away from the pirates, everything's all right. Make a general persuasion check for me. Just
Investigation;MATT: Okay. Make an investigation check on that.;On the first day we were on this boat, me and Beau and others were going to go into Avantika's cabin and snoop around. Oh right. I rolled an 18 and a 19 ten minutes ago. I don't know if I rolled. I don't think I did. I didn't roll yet either, but I was going to crawl in through the hole in her floor if it's still there. Oh, it's still there. To avoid any traps, and then look around the door from the inside to see if she had trapped it or anything.
Investigation;LIAM: I rolled an investigation check ten minutes;minutes ago. I don't know if I rolled. I don't think I did. I didn't roll yet either, but I was going to crawl in through the hole in her floor if it's still there. Oh, it's still there. To avoid any traps, and then look around the door from the inside to see if she had trapped it or anything. Okay. Make an investigation check on that. 20. 19. No, it is not trapped. I'll open it and let you guys in.
Perception;MATT: Okay. Make a perception check for Frumpkin.;Yeah. (sighs) Well, we had one or two days together. Just throw him off. (splashing) Frumpkin makes his way in the darkness. I'm also going to put Bless on the octopus before it. Okay. How long does it last? It's one minute. So I'll watch for the first thousand feet, but I assume he goes beyond that, because it's the ocean, so he keeps going down and down and down. I will tell him to look for this wreck, for what we are looking for, and when he finds it to come back and tell me about it.
Investigation;MATT: Everyone make an investigation check. This;Not with a-- I put my goggles on by the way-- You're good. I'm blind and are you blind? He still has the light. You can still see; Caduceus and Yasha still have the light on their weapons. My weapon glows but I did snuff it down. I was waiting until we knew that we were okay. I move my light over to him. The whale continues on, slowly moving, not really acknowledging your presence. You can see two other smaller whales alongside it. Aww, baby calves. Hey. Technically they can understand me.
Perception;MATT: Make a perception check.;Dreadnought." Yeah, I know. Loading the gun against you guys for the game tonight. It'd be pretty funny. Does that mean that Logic was the whale that just passed us by? There you go. Oh my god! We still have Pass Without a Trace up. I just cast it because of that whale. Oh, that's right. Hey, Caduceus. Yeah. You feeling any creepy, spooky, dead people, or crawlies?
Perception;TALIESIN: Perception checks?;Hey, Caduceus. Yeah. You feeling any creepy, spooky, dead people, or crawlies? Make a perception check. Oh, right. That's actually a good idea. I'm also going to-- With disadvantage because there's no light here, and it's a very short range, I'd say. Because you guys extinguished all your lights when the-- That's a natural one. Ooh, starting out right. Woo!
Perception;MATT: Perception check with Frumpkin.;You know, the ship that started your whole backstory? It's the Tide's Breadth. The Tide's Breadth. (laughter) Your origin story? Yeah, the sheet of paper you turned in nine months ago. I don't think I named it in my backstory! The Tide's Breadth, yes. I am going to summon Frumpkin to my shoulder and look through Frumpkin's eyes because Frumpkin, as an octopus, has darkvision. So I will see that way.
Perception;MATT: Make a perception check.;out, probably during or shortly after the explosion, but before it sank fully. The edges of the cargo hold that are blown open-- as soon as you begin to peer in the inside, you can see the interior is blackened as well, amongst the other patches of sea life that have begun to reclaim it as a home, and bits of seaweed, and general sea vegetation that has begun to find its way inside the empty ship. Ooh. As an idea, sword in my hand, as we start to push in through that hole of the explosion, or peer in, can I lead with the sword and see if the light and/or eye is reacting in any sort of way? Or is it just static?
Perception;wreckage. Go ahead and roll a perception check for;Nein. As you begin to swim into the darkened interior, holding the sword in front of you, it doesn't seem to react, adjust, or give you any sense that it is able to guide you in any particular direction. In the sea, certain creatures like to make homes of vessels. You want to send in your--? Ja, that's no problem. I give a little tug to the leather tied at my knee and cast Mage Armor. I send Frumpkin in, and reach for Nott, and hold Nott by the shoulder. Look through Frumpkin's eyes and send him in to look. Okay. Frumpkin's octopus form makes his way into the cargo hold of the Tide's Breadth
Perception;MATT: Make a perception check.;the familiar quarters of Vandren, though they look tossed. Really? As you look inside, there's the table where he normally sat and read his books. That table is set over; the shelf is pushed over. Looks like most everything in here has been, in some way, shape, or form, tossed. You remember there being all sorts of decorations that he kept in here, metal candle holders. It's all missing. It's all missing. Is there anything that I-- At first glance. Is there anything that I see that is definitely out of place or changed that I remember?
Investigation;of the interior? Roll an investigation check as;somebody was definitely fucking looking for something. Do you know if he kept anything in a secret place? Do I? I don't think I do. Because maybe he took it all with him. Maybe he left. Could be. Yeah. I'll go get Caduceus and Caleb. Beau is really good at finding things, I think. I'll go get everybody. I'll keep looking around the room while he-- Okay, you're doing a thorough investigation
Investigation;MATT: Make an investigation check.;from your current location. All right. Yes. Fine. Take five minutes, six minutes, and-- No! While they're debating I spit out four globules of light and start casing the room. Okay. You have two minutes! I'm going to let the flora and fauna in here know that we're looking for some stuff. One of our people used to live here. We'll be gone, and everything's going to be fine. I'll do a quick glance for anything that looks like it could have loose boards, secret compartments.
Nature;MATT: Make a nature check.;here know that we're looking for some stuff. One of our people used to live here. We'll be gone, and everything's going to be fine. I'll do a quick glance for anything that looks like it could have loose boards, secret compartments. Make an investigation check. While they're looking, I want to point out to everyone that whatever it was that took this ball has claws, and it looks like it could break this thing open. It looks like it might do some damage to us. Is it dented at all, or just scratched? How big a creature does it look like was taking a--?
History;MATT: Make a history check.;I think it's safe to assume that that was done after the ship sunk. A hole this size wouldn't keep a vessel in the water very long. No. Do we know anything about underwater creatures that would be interested in, I don't know-- Glowing eyes? Yeah. Jewels? Pretties? Underwater goblins? I mean, there are a number of creatures of folklore and things that are greedy no matter where they live. Locate Ariel. Yeah, mermaids? I don't know.
Perception;MATT: Okay, make a perception check for me.;dreams, Fjord. True. Very true. 18. I mean, there was one other time that you encountered creatures that seemed to be gathering and hoarding things that were shiny and happened to be affiliated with underwater existence. Yeah, right. I'm sorry, I can't wait any longer. Do you mind if we go? This is all too strange. Be on guard. Where are you exiting? Fuck it, we'll go back up above deck, and we'll jump off the stern in the direction that Jester--
Perception;direction? Make a perception check for me,;No, ein bisschen. You can't hear anything. While we're walking, it's going to be about a ten-minute walk? Is it insane to--? You don't know. Yeah, as we're walking, I'm going to start Prayer of Healing, I guess. I know it takes about ten minutes, but it's a one-spell heal-all. Okay, if you want to. If that's okay. Everybody gets, oh! 17 points back. Whoa! We'll consider that as you guys are traveling. You're helming this journey from that
Perception;MATT: Make a perception check.;No, another ship, sunken, here. You continue on for another 100 or 150 or so feet, and you see the shape off to the right of another shipwreck. (whispering) It's a graveyard. We're definitely in that shit now. The song? Y'all remember the song? The Diver's Grave! Maybe we should go up for supplies. The spell fades, but you still know the general direction of where it was coming from. Up to you if you want to cast it again or continue on based on the memory. Let's continue. Do I see any sources of light?
Stealth;MATT: Everyone make a stealth check, and make a;Let's continue. Do I see any sources of light? Make a perception check. Can we move stealthily underwater? You can certainly try. You're moving half-speed because of the water, and you're moving at half speed beyond that, moving stealthily. So it's a very slow journey, but you can do it. 11. Okay. Are you guys moving stealthily or not? Yes. It'll be a slow journey, but we can try to move.
Stealth;stealth check for Yasha as well. You guys are;Do I see any sources of light? Make a perception check. Can we move stealthily underwater? You can certainly try. You're moving half-speed because of the water, and you're moving at half speed beyond that, moving stealthily. So it's a very slow journey, but you can do it. 11. Okay. Are you guys moving stealthily or not? Yes. It'll be a slow journey, but we can try to move. Everyone make a stealth check, and make a
Perception;MATT: Make a perception check for Frumpkin.;Are you guys staying put or are you continuing to move forward slowly? Ooh, let's take a looky-loo for the moment. You all sit tight for a second, halting your position. You watch as the octopus makes its way into the shadow ahead. Caleb, you're focusing, and it takes a while, but Frumpkin eventually, following this tiny, shifting bead of golden light into view. You begin to see towards the center of where this large valley is. There is a large cluster of long dead, pale-white coral that surrounds a rocky stone shelf. Too real. Fucking awesome.
Perception;MATT: Okay. Perception check, and one other person;begin to shift your way forward, using it as a screen. The shifting tendrils slowly shimmy along in the direction of this coral cluster. Can we ribbon dance a little bit as we go? There you go. Just you two, right? Is this the group? No, all of us are doing it. Whoever wants to be stealthy and be a brilliant person, I guess. I just wrap some seaweed around Caleb. Okay. Who's at the front of this journey? Maintaining a similar position? I will be.
Perception;MATT: Make a perception check.;As you move up to the edge of the shelf, and you glance over the edge, you see the shadow entrance of the cavern before you. Once again that shimmer finds its way across a dozen or more coins that are visible, partially embedded in the muck and sand there at the foot of this cavern entrance. Should I try to send my duplicate down? One question. This is definitely coral that we are sitting on top of, right? It's bits of coral. When you step out towards that shelf, the coral recedes and now it's a protruding large slab of stone. It is a protruding large slab of stone and not a big-ass mouth or anything like that, right?
Perception;a perception check.;30 seconds pass of Jester doing the song and dance down there. No reaction. Shit. It might need actual vibrations or-- No, there's nothing down there. I'll jump down there and join Jester. Okay. Fjord dives off the side and swims down towards the entrance to this cavern. As you approach you can see the coins plainly in front of you. Do you land at the entrance? Mm-hmm. Okay. Your feet find soft footfall on the sediment that has gathered there, knocking up a little bit of it for a minute before it all eventually settles once more. Looking inside, make
Investigation;MATT: Looking down, make an investigation check.;As you step in the inside, it descends a bit, like makeshift natural paths, like stairs or grades that curve around and drop into the central chamber where you see it goes in two different directions, to the right and left. In the middle, there's a large cluster of this purplish-maroon seaweed. The outside of the leaves have a teal-ish blue color. It wraps up against the walls as well. As you swim through and move, the still water shifts with your movement; you can see some of it sway and move with your movement. Oh fucking Jesus, our stealth is going to be balls here. What does the floor look like? Sand, silt, coins?
Perception;MATT: Make a perception check.;No, let's just do it. Let's do it. Fuck it, right? We're all going to die down here anyway, it doesn't matter. Don't you think there might be something in the middle of all the kelp though? There might be, but we'll keep an eye on it as we move around to the right; I just have a very strong feeling about going to the right. It's based off of, really, gut-- I'm right handed, so we're going to go to the right. Let's do it. All right. Do we see bubbles in the water at all?
Perception;MATT: Make a perception check.;You are not poisoned. You just took poison damage. You manage to pull it away and catch up with the rest of the crew. You guys are heading towards the right chamber, which begins to rise up a bit before leveling off about 15 feet above and about 20 feet ahead of you. The walls are still covered in this seaweed in chunks. About every five or so feet, you see another cluster, and they're a bit scattered around the interior. A large portion of this whole chamber network seems to be housing this same type of plant. We're going to move fast, and I'm going to keep Eldritch Blast charged, and if anything starts to reach closer than other areas of it.
Perception;perception checks.;Resistance on you. Well I'm just going to give you-- if anything happens in the next minute you can add a d4 to any saving throw. Okay. Following the tunnel down for another 15 to 20 or so feet it curves around to the left. Do you continue and curve around the edge? Mm-hmm. You come around the corner and look. You guys are at the front. I need Jester and Fjord to make-- since you have the globes, you can move the globes ahead if you want to. I'll say that they're 20 feet ahead of us and 20 feet behind. So you do not have disadvantage on your
Perception;TALIESIN: I'm going to take a perception check,;Okay. Following the tunnel down for another 15 to 20 or so feet it curves around to the left. Do you continue and curve around the edge? Mm-hmm. You come around the corner and look. You guys are at the front. I need Jester and Fjord to make-- since you have the globes, you can move the globes ahead if you want to. I'll say that they're 20 feet ahead of us and 20 feet behind. So you do not have disadvantage on your perception checks. 23. Six.
Perception;covered in this seaweed. Make a perception check,;Yasha. She gets advantage because she can see it, because of her Danger Sense. Okay, that's right. Natural 20. Oh, for Yasha. She just-- actually no, she shoulder checks the seaweed and does not give a shit. It works for Yasha. (as Yasha) No problem. You guys all begin to push forward. This chamber is larger than what you came in through. It's about 50 to 60-foot diameter, continues in for about 80 or so feet, and the height goes to about 30 to 35 feet. All the walls here are
Arcana;make an arcana check, if you want to take a moment;just past the edge, you do not detect anything particularly magical. Then as you take your first step into the chamber, you see this. You almost run into it. In the middle of this chamber, there is a small two-foot pedestal and a disc, a stone disc about that wide and about two feet from edge to edge that is resting on it but at an angle. It looks old. It looks weathered and there appears to be a spiral of runes, two sets of them, that curve inward around each other before merging in the center with one singular sigil where they meet. Are these arcane glyphs, or is this language? They are arcane glyphs. If you'd like to
Perception;perception check.;it. Beginning of this round. The only person that's seen this entity is Caduceus. I can't see them anymore? No. They seem to have shifted into this thick forest of seaweed that tends to wrap around all the walls of this chamber. Beau, you're up first. I don't see anything. I look around? You can use your action to try and perceive if you want to. I go: Caduceus! Then I look around and see if I see anything. Okay, so you use the search action. Roll a
Athletics;advantage on the athletics check. Up to you.;You still don't see her. I don't see her! That's it. All right, that ends your turn. Yasha? Can you hold until you--? He used action, movement, and bonus. Who's up? It is now Yasha. Oh, right, that's me. Fuck. Cad's still grappled. Help. Oh yeah. She'll go through and take some swipes at the kelp, trying to loosen Caduceus. Or would it be better to grab you and fucking pull? If she rages in advance, she can use
Investigation;MATT: Make an investigation check for me. I'll say;Oh, that's right, you're-- Yeah, wow. You guys all cleared that check. Nice. Fuck you, ghost. Lair action, no effect. All right. Sorry, Matt. No, don't apologize. (whispering) He hates us. Dashilla's turn. Dashilla's somewhere. Fjord, what do you do? I'm going to turn with the falchion in my hand and search the throne for-- Make a search action? Yeah.
Arcana;MATT: Okay, make an arcana check.;falling a bit behind. Actually, no, you can do all three with your bonus action. Well, you both can, just in case you want to spend ki points. Nah, not now. I have a question to you, when you've done that. Yes? Back in the chamber, Detect Magic is still up. Does Caleb see anything with an arcane glow in this room other than what Fjord picked up? Only the aura from the table. So none of the shit around the edges, okay. I guess I will start studying the runes on the walls to see how they contribute to this mystery.
Perception;MATT: Both of you make perception checks.;I am basically holding ready to shoot a bolt at anything that moves, and I was actually hanging a little bit far down just in case one of them drops, I can heal, and somewhere where I'm not going to get attacked by kelp and I'm keeping very aware. Okay. Well, you were staying over in this chamber with them. Nott and Beau, you are in the central chamber now. Do you want to search for the possible whereabouts of Dashilla? I want to look around and then I want to head towards that alcove back there. I'm following to make sure she's okay. I technically haven't heard shit.
Perception;MATT: You can make another perception check.;Wrapping up in here. As you come around the corner, you see an old, decomposing pile of merrow corpses similar to the ones that were tied up inside, but these all have these wounds of their throats slit from side to side. Oh, sacrifice style. They're all in various states of decomposition, the freshest one maybe months ago, and the sea has caused its own unique form of bloating and sloughing off of the various parts of the skeleton. Gross. Is she in here? Do we see any movement?
Perception;MATT: Make a perception check.;I will fire at this ghost. Go for it. Not great, 12-- no, 14. 14 hits, roll damage. It is adjacent to Beau so you get sneak attack on the ghost. That's really good. Jesus. 29. It dissipates. You watch as its glow vanishes. This horrible low, dull, vibrating sigh slowly goes away and it's no more and he's immaterial. You punched that ghost really well. I'm staying right at them and I'm looking for any movement while all this is happening.
Perception;MATT: Both of you guys make perception checks.;14 hits, roll damage. It is adjacent to Beau so you get sneak attack on the ghost. That's really good. Jesus. 29. It dissipates. You watch as its glow vanishes. This horrible low, dull, vibrating sigh slowly goes away and it's no more and he's immaterial. You punched that ghost really well. I'm staying right at them and I'm looking for any movement while all this is happening. Make a perception check. Can we go deeper into that chamber? Searching for movement?
Perception;MATT: Make a perception check.;(background music) I'm always curious. Can I count on you to return the favor? Always. (slicing) (slamming) Okay. You suffer three points of damage. As you place your hand down on it, you see this dull red glow around the hand that's placed on the table. As you begin to pull your hand up and look, the runes where the blood has splattered have begun to give a faint glow. Mm-hmm. Has anything changed with the ones on the walls?
Investigation;MATT: Make an investigation check.;quest. I have things that I need to do that are not here, and I am going to need help. I understand. I think we're good. We can go. Damn it. Okay. We understand each other. Cut palm to cut palm. (whispering) Blood brothers, so cool. I'll start to head out of the chamber. I follow Fjord out. Nott and I meet the rest of them. I'm going to try to get as much platinum and stuff as I can before I walk out.
Perception;perception checks on this, which I think would be;"think we better should." I didn't like it either, Yasha. Her brow tenses and she follows you out. As you all converge towards the central chamber once more-- The guards are floating, following us. As you're walking, some of the seaweed reaches out and the unicorns (fizzle). It lasts for ten minutes, right? As you approach they eventually flitter out. You all gather there at the entrance. Are we out of the cavern now? Are you all backing out of the cavern? Looking out for this hag as we go, yeah. Okay. For those who haven't rolled
Athletics;athletics check.;super last. Okay, never mind. I'm going to rush to him and see if I can-- You look over at Jester, who is holding Caleb up and is not even paying attention. You're like, "Shit!" I'm going to rush to him and see if I can grapple? I'm so bad at grappling. Are you? Is it strength-based? Oh. It's athletics-based. My athletics is okay. That's not bad. Okay, I'm going to see if I can take the grappling hook and swing it around and grapple. All righty. So go ahead and make your
Perception;perception check to see if there's anybody on the;It did roll very high. That's all right, he's going to take it. So that is ten points of slashing damage. Oh shit, all ten? But he takes damage back, right? He does take ten ice damage back, yeah. As you run by, the blade strikes. You manage to feel it glide off your ice armor and you feel the blast of ice energy. You, Beau, as you're holding the rope, feel this spray of dark cold and you wince at it in the darkness. I hate these rides! But that gets you on the other side. Oh, for a bonus action, can I make a
Perception;MATT: Make a perception check.;came down into the sewer? You're maybe 150 feet from entrance of where you came down and you're a few hundred feet from the way that leads back up into the city, of the Interstead Sprawl. Should I go back up to the entrance and make sure we're not being followed or anything? Sure, if you want to. Unless you have any questions. Questions? I don't know anything about this shit. Yeah, go keep watch. Okay. I'm going to head back and look at the entrance.
Persuasion;MATT: Make a, I'll say a persuasion check, because;Spits out a bit of blood on to the front of his chest and the rope and (grunts) You're not dead, because we didn't even want to fight you, but you attacked us. (speaks in Undercommon) And so you've cast-- Comprehend Languages. I understand everything. The essence is "Stupid empirical scum. You'll get nothing." He thinks we're with the empire. We are not with the empire. Look at us! Do we have any of that Crownsguard armor? Didn't we collect some?
Insight;MATT: That would be an insight check.;Eh, not our problem. I think we should let him go. I think he's handsome. He looks like a good reward to me. Unless, under one condition. You tell us who you were working with in here. Yeah, tell us. We'll let you go. That's fair. "I cannot. Our allies in the empire are short on the list." Is it Kara? Dolan? Ulog? Checking his face for reactions to any of them. Exactly. Anything? Any reactions?
Insight;LAURA: I'm going to insight check him.;That's great. I've got it, too. I can do two people. Liam, what are you looking forward to in Chicago? Is it the sausages? The brats? The deep-dish? Yeah, you know that deep-dish pizza there. Yeah, I feel like we've kept him up long enough. We don't have to get him out, we just have to give him the chance to get out. I think we should do that. He's given us everything. "And give me the beacon." What? He hasn't told us shit. Will the beacon hurt people, though? "No."
Insight;TALIESIN: Insight check. Do I get advantage;14. Kind of hard to read on this one. What will you do if we say no? "I will strike you down where you stand and take it. It's too important." That's rude. I'm going to start moving towards untying him unless anyone's got any-- Just leave him. He can get out himself. He's a smart guy. If we're all good-- We leave him only if we leave the beacon with the Gentleman, but if we leave him on his own-- (gasps) Was it the Gentleman? Is he who helped you in? Ooh, was it the Gentleman?
Perception;MATT: Make a perception check, please.;I bet it exploded when he did. He exploded. That is correct, right? We have not been paid. No, you have not been paid. Except for the 112 platinum we just got. Which is pretty dope. What-what! How many gold is a platinum? Ten. Damn! Who are the two that are keeping point, leading you guys to the Song and Supper? I am.
Perception;MATT: Make a perception check.;paid. No, you have not been paid. Except for the 112 platinum we just got. Which is pretty dope. What-what! How many gold is a platinum? Ten. Damn! Who are the two that are keeping point, leading you guys to the Song and Supper? I am. Make a perception check, please. 13. I am, too.
Acrobatics;MATT: Okay. Make an acrobatics check, just for the;they're turning the corner heading down to the main thoroughfare. Can I trip and fall right in front of the guard that's carrying the thing? You can if you want to. I’m going to trip and fall! Right in front of him. We had it in our hands! (laughs) Okay. I’m going to cast Disguise Self as a crownsguard and just follow. Just see what's happening. I'm going to parkour elf, get on the-- Elf? Monk, get on the roof of the nearest building.
Stealth;MATT: 16? And make a stealth check, please.;guard that's carrying the thing? You can if you want to. I’m going to trip and fall! Right in front of him. We had it in our hands! (laughs) Okay. I’m going to cast Disguise Self as a crownsguard and just follow. Just see what's happening. I'm going to parkour elf, get on the-- Elf? Monk, get on the roof of the nearest building. Okay. Make an acrobatics check, just for the hell of it. Just to see how fast you get up there. Okay, okay, okay. 16.
Deception;MATT: Okay. Make a deception check.;Okay. Make an acrobatics check, just for the hell of it. Just to see how fast you get up there. Okay, okay, okay. 16. 16? And make a stealth check, please. Yeah, but now they want it, I want it back. Because it hums. Natural 20. Whoa. All right. As you dart off onto the rooftop like Batman, you just vanish amongst the night sky. And you? I'm tripping and falling in front of the guard carrying the thing as I'm trying to look at the body.
Stealth;MATT: Okay, roll a stealth check, because you're;I'm sorry. It just looked so inter-- I'm really impressed with how well you took down that guy, though! I follow Caleb as he traces around, but on the roof. Okay. That guy pushes you off-- I'm standing with Fjord, in shock and horror. Yeah, just full, "Ah." He starts looking around the ground. I start doing that thing where I was taking steps, but not walking with them. And then I started walking backwards. (laughter)
