skill,backward_text,check_line,original_name
Acrobatics,"room by yourself with a bunch of invisible corpses. I get dressed, socks first. Yeah, alright. Let’s just say you get—you get all of your shit back together. Socks first."," Socks first. And just using that same attack roll, just ‘cause I kinda wanna move it along and I don’t think this would work as, like, a normal fight, you sort of carve your way out of the abandoned Fantasy Costco. Just every once in a while, just like using intuition, just like, fuckin’ swinging and yup, there was a thing there. And you cut right through it and you still can’t see it, and you don’t know what these things are, but you know they cut you and so shit’s bad. And as you sort of kick your way out of the—the—the main door of the Fantasy Costco, you are back out on the quad of the Bureau of Balance headquarters. ",Balance
Arcana,"before, it’s been almost two decades. {10141} And uh, you load some of this back up onto the ship, and with a 12 I think take two assets? Um… Nice!"," But, with the other thing you mentioned I do wanna circle back to, is you search for magical energy, I think this is, like, equivalent to an arcana check, right, so uh- ",Arcana
Athletics,"Water Breathing. Perfect. There you go, that sounds like what we’re looking for. [crosstalk] It’s a level three transmutation spell, so Taako you fuckin’ deffo know this. Like- [crosstalk] Perfect."," -transmutation is your shit. Okay, so yeah, don’t worry about rolling. You all can just breathe water. Uhm, Magnus, you have to move some stuff out of the way? Some big, heavy pieces of, like, machinery that are covering some tunnels and some aqueducts that allow you to sort of swim into Underton, but once you get down there, you, you eventually end up in one large open chamber that - the air is so stale down here, but it’s breathable. It’s just a little like self contained bubble of air in this massive room in what are essentially the sewers of the city. And you sort of followed this light and this sound through the tunnels to reach this chamber. What’s the symbol of the Beasts of the Ring look like, Trav? ",Swim
Insight,two v’s. N-E-V-V-E-R. Taako It was a scroll that we looked at. It was a moving scroll. Lup It was a great - it was a really good scroll. Taako," It was a great scroll, and there was that thing, the Notthing, remember? With two t’s? Trademark trademark trademark. And the - it was eating everything, like this is just like that, like— I— we don’t want it to get more powerful. This is the best understanding that we have, right? Like— I— unless you have more insight into it than I do — Merle",Insight
Deception,"takes too long, the decision’s kiiinda gonna be taken out of your hands. Prosecutor Olson There’s no appealing the voice of the justices, their providence is infallible. I don’t understand—"," And as he’s talking, those four humanoid statues above you, they move a lot now, with surprising quickness. You see them sort of lean in close to each other, forming like almost like a pyramid overhead. And you hear them whispering some sort of language that you can’t understand. And they lean back to their original positions and they begin delivering judgment. I want all of you to roll two d6. Magnus, for your answers but also your initial trying to bluff about Lucretia, you ended up with a plus 1; Merle, for your answers you ended up with a plus 1; and Taako, mostly for that really good answer that you gave, you got a plus 2. Taako",Bluff
Acrobatics,"the skull, uh, with the flat side of one of her daggers. Um, next in the order is Magnus. I am going to jump onto the back of the rhinoceros."," [exasperatedly] Of course you are. Uh, go ahead and roll uh… I guess acrobatics? ",Acrobatics
Animal Handling,"I’m tempted to just like have that be your thing, and if you are successful in doing it, you’re in charge of the rhino, but that’s your turn. Hmm, okay!"," Uh, so go ahead and roll animal handling. ",Animal Handling
Acrobatics,"were facing the hand when this happens— Um, before you figure it out, I’m gonna Action Surge, and once I get it headed toward the hand, I’m gonna jump off."," Alright, this is an acrobatics check, and there’s nothing you can say to convince me otherwise, that jumping off the back of a flaming— of a rhino before you [crosstalk] run through a wall of fire - ",Acrobatics
Medicine,"I’ve got a— I’ve got an item, I just can’t remember which one it is. [crosstalk] I think it’s the Raid- [crosstalk] Oh it’s the— the uh, Feathered Cuirass. Yeah."," Yeah these great rolls are like my 2, which has left me with 9 points of health. Yeah. It’s been great. ",Heal
Arcana,"at the end, was a sapphire window. [Smiling] You remember that, Taako because of how good your memory is. [Laughs] Uh, so I’m tryna look for a specific spell that…"," I don’t think— I don’t think you need to do that. I think like...I think you can just roll arcana, and we’ll call it that. ‘Cause I don’t think there is a spell that is transmute and in— this is— when you transmute things, Taako, it’s like a block of wood or a table that you turn into meat. Like, you’ve never— this is a, I’m pretty sure like a half-mile wide circle of glass. This is a big fucking ask. And so I’m not sure your traditional magic will cover it. So I think just an arcana roll would be sufficient. ",Arcana
Arcana,"at the end, was a sapphire window. [Smiling] You remember that, Taako because of how good your memory is. [Laughs] Uh, so I’m tryna look for a specific spell that…"," I don’t think— I don’t think you need to do that. I think like...I think you can just roll arcana, and we’ll call it that. ‘Cause I don’t think there is a spell that is transmute and in— this is— when you transmute things, Taako, it’s like a block of wood or a table that you turn into meat. Like, you’ve never— this is a, I’m pretty sure like a half-mile wide circle of glass. This is a big fucking ask. And so I’m not sure your traditional magic will cover it. So I think just an arcana roll would be sufficient. ",Arcana
Athletics,"ship, there’s probably a mast or something you could swing down off of, to avoid some of this. All right, then I will use my grappling hook to do that."," All right. Um, I will make you make an athletics check on the swing to avoid the, the blade wall. ",Athletics
Athletics,"a moment? Merle ...You got it, buddy. You go and you move over to him and he says- John We don’t have to talk. Let’s just...let’s just watch this together."," And you sit there for a minute, watching the tide pull further and further away as the water rolls gently onto the shore, and the sun drops further and further behind the sea, and then the final sliver of sunlight is gone. And so is John. Merle, you return from that vision and you are back with everyone else aboard the Starblaster, only...the ship’s not moving. Because you’ve reached your destination. The bow of the Starblaster is half-buried in the ground below, uh, which the three of you discover is just this ocean of shifting obsidian-black sand, that looks lit from below by these faint colorful splashes of light. This is where Davenport expertly brought the ship down on the Hunger and now you see him outside the helm, working to repair the damage done to the Bond Engine on the back of the ship. The ring that makes up that engine is spinning again, slowly picking up speed as Davenport continues his work. And in front of you, the three of you see Lucretia, standing over the heavy metal orb housing the Animus Bell, and from that orb you don’t see any traces of the Light of Creation. All of it is inside of her white oak staff, which she is holding out in front of her with both hands. Her eyes are closed and you see that soft white light pulsating from her staff as she finishes casting the spell that will surround the Hunger with her barrier. And she doesn’t have that protective bubble around her anymore, and you realize that’s because it’s surrounding the entirety of the ship. It stretches outward a few dozen feet away from the vessel, and through the bubble you can see shadows surrounding you on all sides, just pounding away at the barrier, they’re climbing one another, forming these small hills of enemies who are growling and panicked and desperate. And it’s taking a lot out of Lucretia to maintain this bubble. You see- you see beads of sweat dripping down her face as she attempts to finish casting this spell once and for all. And from behind you, you hear the Bond Engine hum back to life, and Davenport slams that, that- that hatch on the ring shut, and he shouts- Davenport",Climb
Investigation,me do a... is it a magical spotlight? [snorts] NO?? (incredulous) Is it an electrical spotlight? Careful. (carefully) No. Everything you say becomes canon. That’s right. Is it a cannon?," Okay, I’ll do a... Investigation check to see if I can -- ",Investigation
Perception,"into the ring and then it vanishes in a puff of black smoke. Was it Jeff Angel? No, it didn’t come from anybody in the crowd or in the ring.", Can I do a quick perception check to see if I can tell where it came from? ,Perception
Religion,received a missive that an ancient cell of the Cult of Garrigos survived and was operating out of Neverwinter and I tracked them to this place- to the Chaos Theatre.," And she takes a dart and throws it at one of those banners that had been hanging from the walls and you actually see, I think, Merle, you’d recognize it-- actually, make a religion roll for me. Merle, maybe-- yours is more of an earthy religion? I don’t know if you― ",Religion
Perception,"creep, playing Three-Card Monty in these crazy streets. [audience laughs] Way too many of you are like “I get it!” Yeah, how do you know what that is? You’re monsters."," has made us watch the intro to The Pest, the horrible movie, like 70 times today. In your trademark hubris the three of you assume that you might have better luck at silencing this voice. And it’s like a crying voice, like a deep like [ sobs in a deep voice] but it’s super loud and maybe scary. The entrance is built into the side of a massive glacier a hundred yards or so ahead of you, but you can barely see it through the massive snowstorm that’s been covering the land for weeks now. However, there are other shapes in the snow that stand before you and the entrance, shapes that you can not quite make out through the storm. Everybody roll a perception check for me. ",Perception
Perception,"now, and you’re not just going to be surrounded by flame for the whole episode. The snowstorm picks up and it’s biting at your face with these chilling winds Brrrr.", And you’re standing before the doors leading into this glacier and they are massive 20 foot high double doors carved from oak. And they’re surrounded by this enormous 1 foot deep metal archway covered in runes and emblems resembling snowflakes that just wraps around the whole double door. Everybody make a perception check again. ,Perception
Stealth,"hall for several hundred feet, the corridor ends at a sheet of thick ice, which as you approach it, slides upward. Wait, I assume there’s tiny bells on our shoes?", Oh absolutely. [ starts making little ting noises] So stealth checks are just out of the question. ,Stealth
Perception,"don’t know why this is [crosstalk] such a stumbling block. [crosstalk] Alright, I got it wrong! I thought you were saying, like [laughing] and there’s two other people there, too!"," Merle casts, uh, does a perception check. ",Perception
History,"rest of the foyer. [ inhales sharply as if to start speaking] ...Yes? I’m going to play Dungeons and Dragons very quick. Um, I want to, uh— Everybody stand back!"," Stand back! I would like to, uh, roll a History check? [ ",History
Survival,"it’s not... it’s not cursed by magic in any way that you can tell, it’s just— The vial look like anything I recognise? It looks like a potion. [thoughtfully] Potion."," Um, I’m going to do a Survival check. ",Survival
Survival,"it’s not... it’s not cursed by magic in any way that you can tell, it’s just— The vial look like anything I recognise? It looks like a potion. [thoughtfully] Potion."," Um, I’m going to do a Survival check. ",Survival
Acrobatics,"right now. Okay, well, I’m gonna— I’m just gonna roll with it, I’m gonna go on the dancefloor. I know he got bludgeoned but I don’t think I’m going to.", Okay. Uh… heheh. [ starts singing “Stayin’ ve” by the Bee Gees] Make an Acrobatics check. With an advantage. Make an Acrobatics check. ,Acrobatics
Acrobatics,"right now. Okay, well, I’m gonna— I’m just gonna roll with it, I’m gonna go on the dancefloor. I know he got bludgeoned but I don’t think I’m going to.", Okay. Uh… heheh. [ starts singing “Stayin’ ve” by the Bee Gees] Make an Acrobatics check. With an advantage. Make an Acrobatics check. ,Acrobatics
Perception,"I drank— hold on, let me think. [a beat] Maybe it’s this style of music. Th— I need different music to dance to, maybe that’s— Is there any other records?"," Why don’t you make a Perception check to see if you see any other records, if that’s what you’re... [audience laughs] ",Perception
Acrobatics,"I don’t know. Okay, well, now that I can see everybody, I’m gonna go back out to the dance floor and try to really [ Okay.] shake… shake… the stuff.", Gimmie an Acrobatics roll. ,Acrobatics
Acrobatics,"[defeated] Sure. Uh, it’s like, this one’s like— no yeah, this one’s like [makes funky disco noises]. So like the Ohio Players, [crosstalk] we’re talking like— [crosstalk] Yes. Sure. Okay."," Roll an Acrobatics check for me, Juice. ",Acrobatics
Athletics,"back, the castle disappears some more. Magnus Now let’s run! Uh, okay, which way are you running? Out! Out! Back towards the elevator— Entrance. Okay. Yeah, back towards the entrance."," Alright, you run back towards the entrance. Uh, make a— make an Athletics check, all of you. Dracula is not going to roll, he is on Magnus’s back. ",Athletics
Insight,"right? [audience clamors, “No!”] Magnus Y— yes! Taako This is, uh— yeah! We… Merle Wrap— wrapping it. Magnus We’re wrapping it. Taako We wrapped it! We’re wrapping it. [Audience laughs]", She just got a 24 Insight check. Lucretia,Insight
Athletics,"And all the doors open to the store. Magnus rushes in. There— you are towards the back of the crowd. No. Shield in front of me, fucking— Barrelling through? Yeah.", Make an Athletics check that you’re gonna fucking destroy because you have a billion Athletics points. ,Athletics
Athletics,"whole thing mapped out in my mind, don’t you worry about it. Okay, then I tackle it. All right. As much as you can tackle something that’s in the air.", Make an Athletics check for this whole maneuver. ,Athletics
History,"cheering] Today at [simultaneously] Toy Joy! [simultaneously] Toy Joy! [audience cheering] That’s an 11, plus— Nothing. Okay, with an 11… let’s use— [crosstalk] Wait a minute, why’s it plus nothing?"," It’s just cause I made this roll up in my head, cause we’re playing Calvinball now. With an 11, we’re going to do Monster of the Week rules, it’s a mixed success. You manage to hit the sticks of dynamite with the wind. They go flying back in ’s face, and explode at her feet. She’s fine, this happens all the time in her profession. She goes flying through the air and lands on the ground and says, ",Profession
Acrobatics,"Magnus— [laughing] Nope. [Audience and laugh] Take 8 points of damage, you fall down the stairs again. You're gonna fucking die on these stairs. [Audience laughs] I run and jump."," Okay, make an Acrobatics roll. ",Acrobatics
Perception,"his eyes, [Audience ‘aww’s] his quest is almost come to an end. You see another flash up in the room with the catwalk and hear even louder, more frantic chanting."," I’m gonna roll a Perception check on the— it’s a 2, it doesn’t matter. Magnus",Perception
Deception,"fold— To tackle— Okay. We’ll fold it into one. You’re not going to hurt Jeff Angel with this roll. This is the tradeoff— No, this is not an attack roll.", But you can roll a deception— ,Deception
Deception,"could have just hugged him, like it doesn’t matter— close to him to be able to use his microphone and to make it unclear where the voice is coming from.", Make a deception check with advantage because of the great gum. Even though in a previous live show you did say you chew all the pieces of mockingbird gum— I believe it was the pirate episode— ,Deception
Perception,"principled slaughter as she takes out all but just a small handful, a couple dozen of the Turbo Jeff dolls. I’m gonna add another person to the order. Taako. Yeah?", Mmm make a… perception check. [ laughs] ,Perception
Persuasion,"your head? That’s not Dungeons and Dragons! That’s Dungeons and ! Why don’t you— Then one of them says, Guard But wait a minute… There it is! Here we go!", Why don’t you roll a persuasion check? ,Persuasion
Investigation,"all the beautiful skills that Gary Gygax gave to you, [ (?) laughs] my beautiful family. Do the ingots move? Can we move them? You can pick ’em up, yeah.", I’m gonna roll an Investigation check. ,Investigation
Perception,"grains of chalk on the surface of the anvil, just kinda off to the edge. Put the chalk on the anvil? You place the chalk on the anvil. Nothin’ happens!"," I’m gonna roll— this may be the same bit of flavor text, but I’m gonna roll a Perception check, uhm… that… is gonna be a 13. I’m basically looking for like, things that look like they’re used regularly to access this pathway. ",Perception
Perception,"it’s all part of it? It’s all kind of part of the puzzle. The ingots and the chalk are… part of it. Yes. Merle? Wait, what are you rollin’, pal?"," A Perception check, like everybody else! ",Perception
Insight,"you rollin’, pal? A Perception check, like everybody else! [loudly] Okay, there is nothing left to perceive! You have perceived everything in the puzzle! [audience laughs] Do Insight. Do Insight."," An Insight check, then! ",Insight
Arcana,"not moving anymore. And you made a point to mention it. Okay. Yeah, you can put ’em on. Magnus Could uhh one of you magicaaaal dudes, like, check those out?", Okay. I’ll do an Arcana check. That is a… six plus one. Taako,Arcana
Arcana,check. That is a… six plus one. Taako I know nothing about these! [ laughs and then the audience laughs] Magnus Merle? [pause] Roll a d20? Magnus said that in-character., I do an Arcana check. ,Arcana
Athletics,"cheers] Oof. Alright. I’m gonna make you do a… Acrobatics? Acrobatics, probably, cuz this thing is pretty high up there and it just took a big step away from —", Or an athletics check. Several Voices,Athletics
Athletics,"the jump ball for Tres Horny Boys? Well, Taako’s very tall now, sooo… [crosstalk] I’ll do it! It’s Taako. [audience cheers] Yeah, Merle does it. Alright, Merle— I do it!"," Merle, roll an athletics check. ",Athletics
Athletics,sense where if we did all our chores we got to watch Doctor Who and play basketball. Um. And that’s how we’re the well balanced children we are today. Yeah.," Yeah. Uh, Magnus. Sounds like you’re covering Marvey. He’s trying to pass it— he’s trying to pass it to Jerreeeeee, make a… make an athletics check. [sound of dice rolling] ",Athletics
Athletics,"—plus… 8, 26. You steal— you steal the ball from Marvey and now you have what’s called possession of the basketball. Um, I would like to juke around said Marvey."," Okay, uh, this was a maneuver. You will also roll plus athletics for this. ",Athletics
Athletics,"cheering] Alright. Surely you’ve got music for this, ! You have to have music, something from Space Jam! Yeah, you have dunk music? [Space Jam Theme Song plays] [audience cheering]"," Oh, wait, roll athletics Taako! ",Athletics
Athletics,"ball and he’s gonna pass it to Marvey, and Marvey is running down the, the basketball lane, getting ready to score points [crosstalk] for their team. [crosstalk] I block him."," Okay, uh, roll athletics. ",Athletics
Nature,"knees are gonzo. Alright 3, 2, 1, go! He throws open the door. Let’s roll initiative! [audience cheering] Hell yeah! {6538} [music fades in and back out for commercial break]"," Hey everybody, this is McElroy. Your dungeon master, your best friend, and your… road dog. We’re hittin’ the road this weekend we’re going on a tour for My Brother, My Brother, and Me, it’s another podcast that we do. Thanks for listening to our live episode that we did here in Austin earlier this year. It was a really fun one, the crowd was really fun. The ending almost completely got away from us. Which I think you’re going to experience here in just a little bit. Uh, here in a couple weeks we’re going to be putting up our other live show that we did in San Diego. Uh, which also was a lot of fun and I'm very excited for you to hear that one as well. And then I think the plan is after that, we’re going to start rolling out some of our little experimental mini-arcs where we’re gonna be taking turns running the games and playing different games. I think I have a cold, I think I’m just now realizing that just in the way that I’m talking into this microphone. Let’s talk about some advertisers so that I can go lay down and drink some Emergen-C. [Ad 1- MVMT Watches, Ad 2- Naturebox, Jumbotrons] ",Nature
Athletics,"You pass it to Taako. I cast Bigby’s hand— [crosstalk] Okay okay okay— [crosstalk] that looks like Michael Jordan’s hand, and I shove it down his fuckin’ throat. [Audience laughs]", You reach across the room. Make… the most important athletics check of your entire life. ,Athletics
Athletics,the room. Make… the most important athletics check of your entire life. I cast athletics boost on Taako! [Audience cheers] [laughing] You do! (muffled) It’s a SEVENTEEN! [Audience cheers more], Take advantage on that because he cast Bless to improve your athletics roll— ,Athletics
Deception,"offered us ten. Alfred ...Ten thousand? Merle Yep. They said ten, ten thousand. He uh... Euros. Well, I’m gonna need you to roll, a die, please, on. on [crosstalk] Okay—"," Yeah roll a bl— uh, uh, what’s it called? Deception check. ",Deception
Deception,"a distraction. What do you dooo, herooooooeeeessssssss? I stand up— or [mumbling] Magnus stands up, I’m not Magnus— and points at Crush and goes, Magnus He’s bottom dealing! Ooh, good."," Ooh, that is good. Roll a Deception check, cause you’re— ",Deception
Deception,here. Magnus [super drunkenly] I-I charge this— he’s now— he’s bottom dealing! Hiccup! Hiccup! Crush He suddenly got super fake-drunk all of a— Magnus [sounds of protestation] I’m totally drunk!, I guess make another Deception check. ,Deception
Deception,"mean it’s like… [snorts] [audience laughs] Illusory Old Blue Eyes [stereotypical Italian mobster from Brooklyn accent] Ay, I’m r-really convinced by ah, this guy’s pukin’, ah… over here… [audience cheers]"," Roll a, roll a Deception check. Illusory Old Blue Eyes",Deception
Deception,"Italian mobster from Brooklyn accent] Ay, I’m r-really convinced by ah, this guy’s pukin’, ah… over here… [audience cheers] Roll a, roll a Deception check. Illusory Old Blue Eyes Booshk!"," Yeah, yeah, yeah, roll a Deception check with one of the big ones. ",Deception
Stealth,"let me mark down my spell sheet— and walked to the other end of the hall. And I’m just kinda, like, enjoying— And Lup’s— Lup’s already over there, she, like—"," I’m also gonna roll a Stealth check ‘cuz I have, lemme check, plus 11. ",Stealth
Insight,"inscrutable cloud, man! He says, Terry [original dweeby voice] I can get ya into the, into the, the vault. We’ll just split the loot five ways. What do ya say?", I rolled a 19 Insight on Terry. ,Insight
Arcana,"Uh, yeah, they just look— they look mostly decorative, but it’s axes and swords, some of them are made of silver, uh, some of them are made of gold… Mmmmmm…."," I’ll do— you know what, I’ll do, uh, an Arcana check— ",Arcana
Arcana,"aren’t allowed to confront other gods here in the celestial plane. It’s forbidden. Magnus Okay, you should try a little Hair of the Cerberus. [Audience laughs] I don’t— oh, okay."," Before she goes, I’m going to make an... Arcana check? [ ",Arcana
Persuasion,"so loud here, I only— I caught bits and pieces, something about a magic jellyfish. Magnus Yeah. That's the only thing that matters. Taako So can I go past you?"," Roll a persuasion check, Taako. And Magnus. You all were both sort of making the case together. [Audience laughs] Oh, 's dice is flashing. ",Persuasion
Stealth,"M‘kay. Yeah. [a little sad] He tries to get through the door. He just can’t do it, he’s such a big Minotaur— We walk under his legs through the door."," [chuckles] Okay, roll a stealth check, everyone. ",Stealth
Stealth,"you could make him smaller, do you have a en-small-ing— Yeah, make him small-ified. Taako Hold on. I have magic powers, one sec. [Audience laughs and cheers] I open— [crosstalk]", [crosstalk] I’m already on the other side. I rolled a 22 stealth. ,Stealth
Athletics,"did say out loud. Magnus I’m gonna jump at the fish, I’m gonna swim in the water, I’m gonna cut it open, I’m gonna save that guy I just killed!"," [crosstalk] Yeah, yeah. Roll— roll Athletics? To, like, represent your ability to jump into a column of water and swim to locate a fish. Like, if it’s low, I think you can’t even open your eyes super-good underwater. ",Athletics
Athletics,"did say out loud. Magnus I’m gonna jump at the fish, I’m gonna swim in the water, I’m gonna cut it open, I’m gonna save that guy I just killed!"," [crosstalk] Yeah, yeah. Roll— roll Athletics? To, like, represent your ability to jump into a column of water and swim to locate a fish. Like, if it’s low, I think you can’t even open your eyes super-good underwater. ",Jump
Athletics,"did say out loud. Magnus I’m gonna jump at the fish, I’m gonna swim in the water, I’m gonna cut it open, I’m gonna save that guy I just killed!"," [crosstalk] Yeah, yeah. Roll— roll Athletics? To, like, represent your ability to jump into a column of water and swim to locate a fish. Like, if it’s low, I think you can’t even open your eyes super-good underwater. ",Swim
Acrobatics,"me the life back? Uh, I won’t kill you. [audience laughter, giggles] Alright, fuck it. I go running at the pit. Alright. You just jump right in? [audibly shrugging] Yeah."," Alright. Uh, rollllll… Acrobatics. Let’s see if you land on your feet. ",Acrobatics
Athletics,"Um— [audience laughter because smiled] [sarcastic] Oh, good. Thank you Travie. I like to give ‘em a little somethin’, you know. [sarcastic] Yeah. Uh… I climb up to the landing."," Ok, roll a, uh, Athletics check Taako. ",Athletics
Performance,"step onto that glowing square, some blistering-fast techno music starts pounding through some massive speakers hanging overhead, and then all of a sudden there— THE ECSTASY! [ & audience laugh]"," All of a sudden there are glowing arrows all over you, illuminated on the floor, showing you the steps of an incredibly demanding dance. Roll— we’ve literally never used this skill before— Performance. [audience cheers] ",Performance
Performance,"step onto that glowing square, some blistering-fast techno music starts pounding through some massive speakers hanging overhead, and then all of a sudden there— THE ECSTASY! [ & audience laugh]"," All of a sudden there are glowing arrows all over you, illuminated on the floor, showing you the steps of an incredibly demanding dance. Roll— we’ve literally never used this skill before— Performance. [audience cheers] ",Perform
Perception,"state of being blown up. But this letter caught your eye, solely because of who sent it. It read Davenport Hey, gang, it’s your captain here. [audience cheers] Cap’nport! Davenport"," Your former captain, I should say. You’ve all been off my payroll for some time, but I hope you still have some fondness for me, ‘cause I’ve got kind of a big ask for you today. I’ve fallen into a spot of trouble. See, I’ve run up some debts with some unsavory characters all across the Sword Coast, and they’ve come to collect. I’m a bit low on liquid assets at the moment, which, as you can imagine, they’re not terribly pleased about. Fortunately, I’ve found a way to take care of the situation. No, Taako, it doesn’t involve killing all of them in a huge and fiery explosion. I’ve found a way to pay them back and then some. During my many travels on the waters of this wonderful world, I’ve found a sunken ship [ gasps] that’s chock full of treasure for the taking. ",Spot
History,"boat. Through, uh— Towards the rear of the ship, you notice some patches of unpainted wood covering up some considerable damage, with scorch marks barely peeking out from behind them.", Can I roll a history check to see if I recognize the symbols on the boat? ,History
Perception,"Ahoy! Taako Ahoy. Merle [while retching] Ahoy. Uh, I’m gonna roll a— how far away are we? You’re a good fifty feet away. It does not respond to your “ahoy”s."," Pfft. Asshole. You know what, I’m gonna do a perception check to see if I sense anything else there, and see if I can pick up any other details. And we are looking at a… 19. ",Perception
Deception,"the water! [The crowd laughs and applauds] Your move, ! Make a check, you’re gonna need to check for this one. I got the gum. But I have the gum."," It’s good gum, you’ll have advantage on it. What’s the— I always fuckin’ fuck this up— deception, make a deception check for me. ",Deception
Athletics,want me to read all the rules. [audience cheers] Any creature or object in the water and within 25 feet of the vortex is pulled 10 feet towards it. [, Good.] The creature can swim away from the vortex by making a strength— athletics check against your spell save DC. ,Athletics
Acrobatics,"| edit source Let’s hop right into it! Are you guys ready? [The three respond simultaneously, a enthusiastic “hell yes!” from , “yeah!” from , a hesitant “yeah?” from .]"," Um, so the three of you--Merle, Magnus, and Taako--have joined the Bureau of Balance for a weekend-long mandatory corporate team-building retreat [pause as audience laughs] at a woodland complex called Camp Good Friend, tucked away in an idyllic few acres of the Trollbark Forest. The event was organized by the Director of the Bureau of Balance, who began to notice a slight resentment between the different teams of the Bureau of Balance, uh, uh-- ",Balance
Acrobatics,"paper mâché, they built it, you know, out of something-- It’s funny that you ask that--totally paper mâché. Like this is like a--this is very much a set. Great! OK."," There is a large bulletin board next to the entrance of the dungeon with some long scrolls attached to it. And gathered around this circle you see different Bureau of Balance employees--some you’ve met before, some you probably haven’t put in the effort to meet--and they’re all congregating in groups of four. And they seem like really touchy-feely, for lack of a better term. ",Balance
Acrobatics,Unless you wanna earn Teamwork Penalties! Magnus It’s not lava--it’s not lava! It’s a carpet! Art OK! And the loudspeaker clicks off. Magnus goes running across the planks or whatever.," OK, make an acrobatics roll. [ laughs as rolls.] ",Acrobatics
Athletics,"red carpet on the floor! Well, Merle walks across the red car--no, he doesn’t. Jumps across the red carpet! You’re gonna jump thirty horizontal feet? I am gonna jump! Yes!"," Alright, make an--make--make an athletics roll! ",Athletics
Athletics,0. Plus 0?! Plus 0! Perfect baby! Yeah! Let them bones roll! [chanting] Crit! Crit! Crit! Crit! Yeah! It’s an 8! It’s an--I can read! It’s an 8. You jump--," But on a sideways it’s infinity which is the roll he would need [breaking into laughter, audience cheers and claps] to get to actually make the jump! ",Jump
Acrobatics,"the carpet, like one sixth of the way past this trial. Oh! No, I was jumping over where the plank is! So I landed on the plank at some point.", Bullshit you did! Make the best acrobatics roll of your life and I’ll see if you land on the plank! There it goes. ,Acrobatics
Athletics,"a grown man. OK! [Audience applause.] Or in this case, elf. It is effortless. I guess, as the case may be. It is effortless. Woop! Taako just goes across. Stuart", I got a 17 for my athletics roll. ,Athletics
Acrobatics,"and you on the bridge? Stuart I say Brad You did a wonderful job, Merle, keep going. And with that encouragement, I clear the rest of the planks. [Stuart laughs.]"," Uh, no, you can make another acrobatics roll to finish crossing the rest of it. ",Acrobatics
Athletics,"roll on the wall. This should be better for you! That’s a 5 plus 9. 14. I mean it’s a wall, so yeah, you get a-- It’s not gonna dodge!"," You jump and get it in there and then uh, make a, make an athletics roll to finish climbing the rest of the way up. [ gentle beatboxing as rolling and math happens] ",Athletics
Athletics,"roll on the wall. This should be better for you! That’s a 5 plus 9. 14. I mean it’s a wall, so yeah, you get a-- It’s not gonna dodge!"," You jump and get it in there and then uh, make a, make an athletics roll to finish climbing the rest of the way up. [ gentle beatboxing as rolling and math happens] ",Climb
Acrobatics,"my pocket. [ & Audience laughing] Alright, tiny Garyl, what's that sound like? Garyl Yeah, fine. Magnus as Taako You're coming with me, Garyl! And I run across the boards!"," [laughing] Okay, make a fucking acrobatics roll, you've just wasted so much time! ",Acrobatics
Acrobatics,"to do Feather Fall on myself. Stuart Into the lava? You're gonna fall into the lava! No no no, it makes me really light so he can pick me up."," Yeah, I think it makes him lighter. Alright, so roll a, uh, ac- what would be lift-? I guess a strength check with advantage, 'cause you're also kinda keeping your balance? Stuart",Balance
Athletics,"him to fight really well. I like the idea of a superhero, with just like really powerful jumps and kicks. And his legs are very good. He kicks super good!"," And um, in line with that, he can do these acrobatic feats, basically without having to roll, like they require very little effort. Uh, “leaping up to a second story window or from rooftop to rooftop across a wide alley way is a simple task that doesn’t require an athletics roll.” And then he has some other stuff, one ability called ‘cat’s landing’ where he can’t be hurt by falling which you know I’m going to use that do some dumb shit. Umm, and he has some Spiderman-like dodging abilities, which are going to be very useful. There’s a really cool system- he’s also like a personal trainer, right? So I gave him some sort of flavour there, where he has skills in conversing with people, I think this is a character who like wants everybody to be their best? And wants to help everybody else get there? Because that’s what personal trainers do, and so I think that’s an aspect. He has a stunt called psychologist which sort of treats mental stress, so I think after a fight didn’t go well",Athletics
Perception,"just kind of a generic song that would sound kinda like-- You’re describing a Coldplay song. (pause) ( snickering) Yeah. Okay, okay. So that’s it, it’s some kinda Coldplay-ish music."," I wanna roll Notice just for the room, just to see like--this is basically perception check right? So this will be like uh- ",Perception
Intimidation,Jamie says--- I’m going to intimidate the shit out of Jamie. Jamie Guys don’t-don’t tell ’em anything. Don’t tell ’em anything. This is a competition and I wanna win it.," I get uh 2- well, so I rolled equal to 0 +2 to intimidate… to intimidate Jamie. ",Intimidate
Athletics,"Let’s just go- let’s just go in order. Me uh- Nadiya Yep go. Irene Me, Remy-- Remy Alright. Irene Me, Remy and-- Grey, Flanagan and Addison break into a run.", Yeah we’re running too! Can I roll athletics? I’m super fast. ,Athletics
Athletics,"happens, at the same time, Remy, you feel that tingling sensation give like a huge surge. All through your body. Yeah, I’m gonna fuckin somersault right out of the way."," And just then, the sparks on the body pulse right in front of you. Roll Athletics. ",Athletics
Investigation,"I think we’re supposed to be balancing sort of faith in science, at this point. Right? I think that’s what this statue is trying to get us to, to do.", Someone could do an investigation check. ,Investigation
