skill,backward_text,original_name
Insight,"Zaken will take his cue now. ""Well my noble Lord, let me continue now that my dwarven colleague has mentioned me. I was visiting Dale when I came across our mutual Beorning friend and another of his associates in the hub of Dale: the Missing Scale. Actually, I was looking for a trade opportunity - my constant source of pleasure in this world I may say - and I had been put on the trail of this elf from Mirkwood by a trading associate from Dorwinion. She had become aware of the elf's interest in the same clothing woman that alluded to: in fact he had rescued her from that fire. Somehow he was incensed to find the perpetrators. I … got involved. Frankly, I was looking for a commission into the Elven Kingdom; he seemed a possible start. So far I have made no loss, but alas, no great progress either. If I remember rightly, that elf is searching out some sort of mining plan for the Elven King. But he is too tight lipped. I am beginning to despair of him being any use in developing trade. I may be forced back to my Dorwinion wine merchants and see if I can get in that way.So you see, we have mining interests: and even if the Elf Kingdom is not looking promising, we have already said how it might be a great success to concentrate on the further development of Dale. Do you have a source of building materials? I find getting stone supplies from Erebor to be a bit of a closed shop. None of the dwarves there seem ready to share access to the mountains resources. Do you have any dwarven suppliers that I might acquire a share in? ..... ... but before you answer that, I have to insist that the great enterprise planned by Brorr and my company can only succeed with high value goods and products. If we have building materials - they must be the best. If we deal in foodstuffs, then only the exquisite and the exotic will pay. Manufactured items must be high quality to cover the transport costs and attract buyers from far away - if your contacts cannot provide the highest quality, the best grown, the best crafted, the most beautifully presented wares: then we will not make a profit on the costs of carriage. So, our questions back to you are:  1. Do you have the goods that match your so obvious good taste? (Zaken raises the beautiful goblet to illustrate and flatter the   at the same time)     and            2. What extra ideas or points are you referring to, what are your goals we might be sharing? ""Zaken is using his powerful personality to match the high manner of the Lord. he is showing that he expects to be referred to as an equal in the business, even if he is not of the aristocracy. He is courteous in his manner, but direct in his language. Throughout his speech he will be checking how well his words are being received (Riddle) and weighing the returning comments of Gunvar (insight) for concealed thoughts.  ",Insight
Persuasion,"Zaken will take his cue now. ""Well my noble Lord, let me continue now that my dwarven colleague has mentioned me. I was visiting Dale when I came across our mutual Beorning friend and another of his associates in the hub of Dale: the Missing Scale. Actually, I was looking for a trade opportunity - my constant source of pleasure in this world I may say - and I had been put on the trail of this elf from Mirkwood by a trading associate from Dorwinion. She had become aware of the elf's interest in the same clothing woman that alluded to: in fact he had rescued her from that fire. Somehow he was incensed to find the perpetrators. I … got involved. Frankly, I was looking for a commission into the Elven Kingdom; he seemed a possible start. So far I have made no loss, but alas, no great progress either. If I remember rightly, that elf is searching out some sort of mining plan for the Elven King. But he is too tight lipped. I am beginning to despair of him being any use in developing trade. I may be forced back to my Dorwinion wine merchants and see if I can get in that way.So you see, we have mining interests: and even if the Elf Kingdom is not looking promising, we have already said how it might be a great success to concentrate on the further development of Dale. Do you have a source of building materials? I find getting stone supplies from Erebor to be a bit of a closed shop. None of the dwarves there seem ready to share access to the mountains resources. Do you have any dwarven suppliers that I might acquire a share in? ..... ... but before you answer that, I have to insist that the great enterprise planned by Brorr and my company can only succeed with high value goods and products. If we have building materials - they must be the best. If we deal in foodstuffs, then only the exquisite and the exotic will pay. Manufactured items must be high quality to cover the transport costs and attract buyers from far away - if your contacts cannot provide the highest quality, the best grown, the best crafted, the most beautifully presented wares: then we will not make a profit on the costs of carriage. So, our questions back to you are:  1. Do you have the goods that match your so obvious good taste? (Zaken raises the beautiful goblet to illustrate and flatter the   at the same time)     and            2. What extra ideas or points are you referring to, what are your goals we might be sharing? ""Zaken is using his powerful personality to match the high manner of the Lord. he is showing that he expects to be referred to as an equal in the business, even if he is not of the aristocracy. He is courteous in his manner, but direct in his language. Throughout his speech he will be checking how well his words are being received (Riddle) and weighing the returning comments of Gunvar (insight) for concealed thoughts.  ",PERSUADE
Persuasion,"Zaken slowly smiles, in a deliberate, almost laboured motion, it would be impossible to read his response in advance. (Gunvar will be waiting, forgetting to breathe, for his answer)""V e r y     I n t e r e s t i n g  words,  my lord. And yet, you now pause for my comment. How can you ask for my opinion unless you will deliver some more of the details? What exactly is it that you propose?  You say this is 'no less than a chance' - you excite me with the word chance: it means RISK and it means GAIN. I am no stranger to either, nor am I afraid of either. I relish both, for the rewards that can be gained, or for the experience alone. Pray continue, intrigue me some more with your mission. What can we do? what are we about to be asked to agree to? I think I see a reward in the near future. Would I be correct that you are offering my family, and Brorr's family, the permissions and the freedom to operate our great enterprise?If so, I know you will want something in return: we are both canny business folk - tell me what I have to stake and be exact about what I, er I mean we,  might win."" ",persuade
Persuasion,"Finally adds. ""Aye. what are you saying, exactly?And what must we do?"" has seen a small unshaven* face reveal itself through a window behind Gunvar. There is no time to point out to Zaken that Milo is outside. hopes that the halfling has caught some of the conversation. WAIT! the window is slightly open, he must have the heard all the speeches so far. looks directly at Gunvar. The next moments could well reveal all this fool's plotting. Milo must have a chance to hear it all: and then  to get away. * unshaven should be clean shaven! ",persuade
Stealth,"As the evening has approached, Amdir has broken cover and crept closer. Doing this enables him to more directly intervene if something goes awry. But getting closer gives him a lower perspective on the manor house. Fortunately the lamps are lit early, any door or window that is opened or unshuttered now will alert both him and Milo with a sudden ray of light.  He is therefore confident he has not been seen. But use 1 hope + 8 favoured when in the dusk due to cultural blessing if needed to make the roll certain. ",Stealth
Persuasion,"Considers Gunvar for a moment, ""I see, my lord, you test us a little more. Good. I am not offended. It is pleasing to see that you look for assurances of our abilities. Perhaps I can demonstrate my skills of deduction and analysis?   I would ask you to consider a small puzzle I solved when I travelled in the East. Indulge me, when I say that it is an old tale of an Eastern King who executed nine prisoners. The king started by tying them to posts set out in a square pattern in his courtyard -  a grid of 3 rows of 3 men in a line. Then the king rode his horse past them and cut off each head as he charged down in a single straight line. It started a bit like this, ""  sketched a grid to show how the nine condemned men were 'posted'. and then he continued,"" of course it would not be  a puzzle without a twist. Bring in your most capable servant, that weaselly fellow who met us at the gate might do. Is he clever enough to solve my puzzle do you think?""(OOC: I am going to assume that Gunvar is intrigued enough to permit this)""Now, if you remember,  the king charged along in a straight line, beheading all the men on his first run. So he may have made this trail first..."". ""After the first run, he had to twist his horse around to face a new way and he started his second charge, beheading prisoners in the new line of charging."""" and he continued until all were beheaded. Tired with his robust sense of justice, he looked at the courtyard and counted the number of times he had turned and charged. He saw he had turned four times and made five charge-lines in the sand. Let us see if you employ a fool my , this bit is easy, can your lackey draw out the 5 straight lines with the places the king turned his horse around as he executed the nine men?""(The lackey should have no problem doing this.)"" and now my puzzle, the king asked his court if he could do the same job with less turns and charges - is it possible?"" 's aim here is to amuse , and to show him that is a brighter associate than his best lackey. ",Courtesy
Persuasion,"""Ah, , once again you show your careful mind, with its intricate attention to detail and its ability to puzzle things through.You may need further convincing of our ambitions. I am not sure you have seen the extent of our plans. You ask for evidence of greatness, we seek great people to join us. You are clearly a strong and wise member of King Bard's council. You are versed deep in the intrigues of this region. This alone would be enough to recommend you to us an important - nay, vital, - ally. We have no foothold in the city except a sound financial and commercial set up.To demonstrate my trust in your standing and capability, you should know that we have already secured many of the stepping stones of our what we refer to as the Great Enterprise. Know this, Lord, when I reveal this you will become a confidant of the highest order. When the dragon fell on Esgaroth, we received a setback: we had almost 'owned' that weak fool, the Master at that time. Another year or two and we would have had him snared in debt and under our complete control. We have 'interests' in Dorwinion and beyond in Rhun; When recounted his story of the eastern king, he is speaking of a real king in a real court: one who is allied to our vision, as you might be - of course, he is a king - Bard is too intransigent to acquire. But I am convinced that you have the ability to influence him. It is why we wish to ally ourselves with you.But there is more!  From the East to Dale is not even half of our ambition. Are you prepared for GREAT risk and GREAT reward? "" (courtesy here to maintain Gunvar's attention & interest) ",Courtesy
Persuasion,"Continues, "" Moving from Dale to the west, we have two routes. First, Do you really believe that our elf is in Mirkwood by accident? Here we are  trying to get a very bold operation. If successful, we will have a way through that forest, guarded and guided by the blessings of the Elf King. We will secure his non-interference in the affairs of Dale and Esgaroth with riches that he has a weakness for. Of course this is not a finished project, it would be helpful if we had access to the wealth of Erebor's gem operations. The Elf king will need a particular sort of bribe. We know you have dwarf connections - how serious might they be? If you think I am being unguarded in comments, it is simply because now is the time for hard and clear talking and decisions. You are right to be cautious: but honesty with each other is paramount now. Perhaps you can feel more confident to trust us since you can see our ambitions?The second part? I spoke of two routes past the forest. We are already operating across the Narrows. travelled that way only last year. The carvings we delivered reveal that. But it is a longer route, and the forest would be better and more secret. Either way we will move ahead.Past the forest, we are based in the land of the Beornings. A man of your obvious good taste will not likely have travelled THERE!. They are simpletons, we control their foodstuffs and wool trade. Their menfolk make impressive bodyguards - loyal to the end and as easy to shape as the oaks they live amongst. I would be hiding the truth if I said we had safe passage across mountains. That is a further problem to solve.But after that we travel further through empty lands, small simple towns and rustic folks - to the Great Sea. Can you imagine it my Lord. An empire of trade and wealth from there, through here and on into the East.  this is our Great Enterprise. Commercial control of all of the North... and without the silly costs of armies, or the wastages of war. With this wealth we will control it all. What say you now? Are our ambitions worthy of consideration?"" (OOC: another very poor roll! To make this work, I would employ his Trading Trait/Speciality to convince Gunvar of the financial viability of the proposal and ask for a further automatic success) ",Persuade
Performance,"Calls across fromhis side of the table, where  the lackey is struggling wit 's puzzle, ""I see that the solution eludes your manservant, . He cannot think of the bigger picture. Let me show him and perhaps you will see that my puzzle is also true of our Great Enterprise.  Look around you and you will see other ways to success.The king can do the trick in four charges, and only turns his horse three times... like this!""(use craft to compose answer) ",Craft
Athletics,"(I think I failed that post somehow? )OOC: are we off to Erebor in the morning with a new chapter?Zaken will attempt to communicate with Milo during the night by speaking through a skylight. (athletics roll) If successful then he will know what Amdir etc have been able to set in motion. He & should try to travel with the wagon to Erebor, as it will make tracking easier for those PCs following. He will ask to get his Great Bow anyway (and recover his fireworks, which will be in his quiver)Darnation, there is no way he can achieve this conversation without knocking something over. A patrolling guard in the night prevents a second attempt. (adding Hope will not get this roll to pass, oh well)The only way he can be updated now is if Milo can get in on his own.  ",Athletics
Persuasion,"Alice brandishes the blade with a flourish, and makes a ceremony out of returning it to its scabbard, head bowed in contrition so that her face is hidden by the hat.""Forgive me, Father,"" she offers, ""I know not what I do.""Her voice positively oozes remorse and sincerity, with a faint catch to bring a tear to the eye of her audience... ",Persuasion
Insight,"Alice stares out at the forest of masts for a long moment.Whatever else she's seen and heard today... this is not a story.It seems she may need to start taking some of the wilder fabrications... at face value.""... wait!"" she calls, and hustles back up the pier to catch Marco again.""... you said there is a ship, a captain. And you know how to find her... but people are stuck here regardless? You can take me to her if I help your sister, but you've never thought to leave yourselves?"" ",Insight
Investigation,"I chuckle to myself and shake my head. All of this? For a goat? The math doesn't make sense to me. The girl's balance is not comparable to the goat, not in measure of intelligence or life span or productivity to the world. Sure, the feeds the world but she will help control it. I can't help but feel something has chase off the goat to get closer to the girl. She is innocent, maybe even innocence incarnate. And the direction she points to feels ominous, as though something darker than death itself lies in wait behind the sun and its light. Chills run up my spine, rather than down, and I let the elf do most the talking. He's gentler than I, and I know it.The mask I wear is to make sure no one will see my sharp features and lavender eyes. They are both deadly enough to kill the hope of any creature and right now we need hope on our side. A thought pops in my head though, and I can't help but get it out. ""Child, what importance is this goat to your village?"" ",investigation
Perception,"Approaching the barge, Grubreg inspects the waterfront surrounding them. ",Perception
Survival,"checks the ground (explore) and finds nothing more. It seems to have been quite a warm, snug hollow in the ground.  The campfire has several small bones in it - possibly a pigeon's remains. This boy has grown good at surviving.  ",explore
History,Lore then Travel ,Lore
Survival,Lore then Travel ,Travel
Survival,"Though the journeys he is making are widening his knowledge of the world at large, has no knowledge of these areas. The familiar skills used during the river crossing are of no advantage here as the group see that their path ahead will be southwards.  A mountain range is far off to the right as they look in the direction that the river flows.  Although the area generally looks to be broken lands covered in grasses, there is the darker smudge of trees running across the further view. tells of more forests in front of them - but not to the depth of the mighty Mirkwood that they have left on the other bank of the Anduin.The knowledge that the oppressive gloom of Mirkwood will not be repeated aids his spirit as they travel. The occasional sight of some of the insects and birds of this region, particularly a flock of geese that they disturb, reminds the Dalesman of the wildlife of the Lake area. It feels a little more familiar, and he is confident that his skills will be of help as they journey.  He resumes his role as a Scout, and very quickly finds a small tributary of the Anduin with fresh and sweet water. On the first evening of their pursuit of the boy fugitive, finds a clutch of eggs that lands the group a bonus to their midday meal. The surplus eggs are boiled for use over the next day or so. ",Explore
History,"Larsi shall guide, should his companions agree. He is no great tracker or huntsman, but a guide through the wilderness, he can be. ",Lore
Survival,"Larsi shall guide, should his companions agree. He is no great tracker or huntsman, but a guide through the wilderness, he can be. ",Travel
History,"lore & travel(I’d like to invoke the folk lore trait to know something about this region, if you think it fits) ",Lore
Survival,"lore & travel(I’d like to invoke the folk lore trait to know something about this region, if you think it fits) ",Travel
Perception,"""Look!"" whispered pointing at the shape of a boat almost completely hidden by branches and reeds.It was early in the morning and the only noises were the sloshing of the river about the skiff and the sad cawing of some waterfowl far away.Having hauled their boat ashore, they looked at the hidden one, seeing that it must have left there not more than a few days before. The branches were still green and the boat was exactly the same as their own.“We’ve got it, in the end!” growled to no one in particular. “Now we just need to dog his footsteps, hoping we find him before that gang of orcs or a wild and angry bear. “He added, looking around at the soft and moist soil, silently asking grass and leaves which direction the fool went. He was tired, as though the air heavily laden with humidity was weighing on his shoulder.Luckily had found a trail to follow, so they went along in single file though the high reeds, exploring the ground ahead, Larsi in the middle, trying to keep the direction despite the sea of rustling reeds all around, at the end, watchful, listening to whatever sound or sign of danger.He frowned.“I don’t like this path, and this silence even less. “ He whispered to his companions. “The perfect place for an ambush, and no mistake!”(OOC: I invoke the trait beast-lore to help his awareness, if you think it fits. BTW: takes the lookout role.) ",Awareness
Intimidation,"“Slavers!”, growled to himself once he saw the chains and the cages the three men were bringing along. He spat on the ground as though the word had left a sour taste in his mouth. The thought of those poor people and childrens forced to work for nothing but a piece of mildewy bread  was making him angry. “We’ve a mission to accomplish and these three guys are not our business.” he thought trying to persuade himself to avoid a surely bloody fight. “What do you want to do, the Skald, right the world with your bare hands? ”He heard himself asking as if a voice were speaking to him from a deep place inside of himself, a reasonable voice, but cold and gloomy too.“Not with my bare hands, but perhaps with the iron of my axe.”He whispered to himself, while his feet were already moving. He walked silently through the reeds around the three toughs until they were between him and his companions. He let out a deep sigh then he stepped forward out of the bush all of a sudden. “How’s the hunt, guys? Have you got something in the bush?”He said aloud making them start in surprise. But, despite his plain words, his voice was harsh, deep and grim. His hands, knuckles turned white for strength and retained rage, were clenching the long haft of his axe which blade glittered with threats.  ",Awe
Stealth,"Jot follows you lead, sneaks up behind and srands with bow knocked ready to cut down another.  ",Stealth
Intimidation,Tell us what we need and we may yet spare your lives. invoking his Lordly trait ,Awe
Investigation,"Keeping the axe in one hand and the eyes fixed at the three tough, reached out the other hand to help the prisoner to get up.“Beorning, ‘ey said, as I am. No doubt you fought bravely for your freedom. What’s your name, fellow?”He said scrutinizing in the meanwhile the guys’ equipment in search of any hint, like Merovech’s sword, that cloud suggest they had previously met Oderic.“And tell me, if you like... what the hell were you doing by yourself in these marshes? Don’t you know they’re a dangerous place?”He asked once the man was standing, looking at him and trying to guess from his clothes where he could be from.(OOC: I invoke the trait folk-lore to know which folk the man belongs to.) ",Search
Persuasion,"Jesus lowers his sunglasses to look the girl in the eye. His sad, sad eyes could swallow up a girl's thoughts... or so he thinks, she probably thinks he's just leering at her. ""Well of course not, darlin'. I don't know the Pink belly from Adam. I'm sure a pretty little thing like you knows a good man when she sees him, or Jesus is a liar and a devil. And we both know that ain't the truth, uhuh. The son 'o god is a forgiving man, little miss. I'm sure we can sort out this little misunderstandin'."" ",befriend
Persuasion,"Jesus recoils as if he'd been struck. ""Woah-ho, momma! I didn't mean to insult your boyfriend. I'm sure old Rinkydink is an upstanding man of the lord. I just want to talk about what happened, is all. Ol' Jesus is a man of the lord and he needs to see things are done right. Wrinkled Dick was a good, honest man right? The Jeez just needs to hear the truth."" ",Befriend
Investigation,"Arriving at Kyle's Smithy, of course the forage was dead cold.  Wulfric begins to look around for anything that might be of any use.  He wasn't quite sure what exactly he expected to find.  But he knew he would know it when he saw it. ",Investigation
Insight,"""Tersi,"" Teresa corrects Esmée again gently.""So... no message, not a scheduled visit, but a premonition?""She looks at Nathan with renewed interest.""Do you know if he is given to such feelings? A devout man?"" ",Insight
Insight,"Teresa chooses the least-unfriendly-looking horseman to address as the procession passes, turning to stride alongside the column.""Good morning, soldier,"" she says politely, her left hand casually fiddling with her cloak clasp so as to draw the eye to the crest of her house. ""What news from Darkstone?"" ",Insight
Persuasion,"Teresa chooses the least-unfriendly-looking horseman to address as the procession passes, turning to stride alongside the column.""Good morning, soldier,"" she says politely, her left hand casually fiddling with her cloak clasp so as to draw the eye to the crest of her house. ""What news from Darkstone?"" ",Persuasion
Stealth,"Deciding not to sit on his hands.  Wulfric said quietly to Cassandra.  ""If anyone in our chain of command asks. I'm going to go scout around just beyond the perimeter of village.  I just to make sure no other Darkstone troops are in the area.  Perhaps massing for a attack.  Though it is not likely.  It's better to be safe then sorry.""                  With that, he discretely walks away at a normal pace.  Once out of sight of the unexpected visitors,  Behind various village buildings.  He swiftly strings his longbow.  Keeping it in hand, he starts running at a steady pace towards the edge to the Sashall, still screened by various buildings.  One he starts across the surrounding fields, he nocked an arrow to bowstring.  Using his forefinger on his left hand that held his longbow.  To hold the arrow shaft tight against the arrow rest.  Once getting to the forestland beyond.  He penetrating it a good 20 yards and began to stealthily make his way around to the road that those from Fort Darkstone came to Seshall by.  Looking for anyone that might be skulking around in that area. ",Stealth
Perception,"Deciding not to sit on his hands.  Wulfric said quietly to Cassandra.  ""If anyone in our chain of command asks. I'm going to go scout around just beyond the perimeter of village.  I just to make sure no other Darkstone troops are in the area.  Perhaps massing for a attack.  Though it is not likely.  It's better to be safe then sorry.""                  With that, he discretely walks away at a normal pace.  Once out of sight of the unexpected visitors,  Behind various village buildings.  He swiftly strings his longbow.  Keeping it in hand, he starts running at a steady pace towards the edge to the Sashall, still screened by various buildings.  One he starts across the surrounding fields, he nocked an arrow to bowstring.  Using his forefinger on his left hand that held his longbow.  To hold the arrow shaft tight against the arrow rest.  Once getting to the forestland beyond.  He penetrating it a good 20 yards and began to stealthily make his way around to the road that those from Fort Darkstone came to Seshall by.  Looking for anyone that might be skulking around in that area. ",Perception
Acrobatics,"After hearing the ten minute alarm, Ulysses flipped some switches and observed Cabals power rising back to full operational levels. Time to get back in action. He opened the comm channel and responded:""Griffin Three standing by, all systems nominal. Reading you loud and clear."" ",Mobility
Acrobatics,"""Acknowledged Kirkwall, Griffin is ready to deploy.""Dec ran through the final preparation checks. Everything seemed nominal as the hummed into life.Dec tried to steel himself for the inevitable shock of being cut free from the dropship. As the timer ran down. ",Mobility
Insight, looks at the armored figure leading the other group of Stone-Guard trying to figure out who he is behind the helmet. As he does so he feels the line jostling and looks back to see a brigand pushed up against the shield-wall. He takes his sword and stabs upwards past the shields at the brigand. The sword is parried deftly and swears at himself and wonders why he even bothered running down here with the guard.  ,Insight
Insight," hears the bellow of the Commander, and looks at his armored figure as continues to charge towards the ten warriors fighting the Stone-Guard. Who is that? He wonders as he meets the line of brigands, readies himself and swings his mattock towards the shins of one of the above brigands. The mattock is deflected and readies himself for the counter-attack.  ",Insight
Insight,insight and attack with great spear one of the men nearest Gunvar. Forward stance and using die from battle advantage. nods to the dwarven commander with a smile. The armor blunts the thrust but the brute feels the flow through the armor.  ,Insight
Stealth,"stealth, athletics, insight, attack with short sword Forward stance stealth attack on Gunvar himself. So he achieves surprise but not gracefully. He does not recognize the voice, but sword bites deeply into Gunvar’s leathers. Throws Gunvar off balance and the look of annoyance is worth all the trouble! ",Stealth
Athletics,"stealth, athletics, insight, attack with short sword Forward stance stealth attack on Gunvar himself. So he achieves surprise but not gracefully. He does not recognize the voice, but sword bites deeply into Gunvar’s leathers. Throws Gunvar off balance and the look of annoyance is worth all the trouble! ",athletics
Insight,"stealth, athletics, insight, attack with short sword Forward stance stealth attack on Gunvar himself. So he achieves surprise but not gracefully. He does not recognize the voice, but sword bites deeply into Gunvar’s leathers. Throws Gunvar off balance and the look of annoyance is worth all the trouble! ",insight
Athletics,never!  My allies will still bring you to ruin!  He spits. But his men surrender. He attempts to run down the passage to escape but runs into  ,Athletics
Athletics,"sprints across(swift) and bundles in must add hope +4 to get success, even though both gunvar and rafferty are on the floor. He pins the nobleman down.Breathing hard with exertion, ""good evening, your lordship. I think you forgot to get permission to enter the mountain... well so did I, perhaps we shall ask now?"" Will drag the man across the surface a little, while gets up. Then the two can frog-march Gunvar, roughly, over towards . Bramnir also hobbles up, quite keen to be around at the capture, and to demonstrate how damaged his ankle must be. ",Athletics
Perception,"Late roll of awarenessdazzled by enormity of the Great Hall, at first Amdir misses what Milo is suggesting: if a point of hope is necessary to make a possible great success, then Amdir will spend it as he catches what Milo says - ""THAT dwarf, the one who has the coloured beard in red? He is moving behind some of the stone guard as if to stay out of sight. Be ready my friend, make your way over there, that dwarf is up to something - could it even be a female dwarf? If he or she moves towards Dain or Blin, trip  them up. ""Amdir will coil himself ready for action. His sword is still in his hand as he has been nudging the captured men-at-arms along. He flexs his legs... is about to be introduced to Dain by so that can recount the story of Gunvar's treachery... ",Awareness
Perception,Also Awarenesstypical not a hope (even with Hope!) ,awareness
Perception,"(Awareness) even with hope 18 is just beyond him, so nothing spent[Actually he is still underground and therefore Daunted, so no chance for Zaken to spend hope anyway: even though he is upstairs from the Forges, he is not 'out of the dark', and the dragon reek would not help either] ",Awareness
Stealth,Milo tries to end run and get nearer to the suspicious dwarf ,stealth
Athletics,Gunvar's nearest guard notices the movement and tries to block ,Athletics
Athletics,"(Ooc:  Great. The sword roll has gone over the athletics roll. The athletics roll was 9 + 1 + 6 + 2 which was 18 total, so I thought I had better add in  a point of hope to beat the red dwarfs attack roll. Making a total of 22.What I have done is added the sword roll to the same dialogue window and the sword roll has over- written the athletics. I needed to enter it in a new window to keep the other roll. So I have typed in an athletics roll again in this window. Maybe the Valar are looking at these dice rolls. I am hoping that this can now count as an automatic blocking success; so that I can claim the sword attack. Sorry for typing mess up ",Athletics
Athletics, stumps over and fails to catch the slippery dwarf. ,Athletics
Survival,starting the hunt ,Explore
Stealth,starting the hunt ,stealth
Perception,starting the hunt ,awareness
Survival,travel ,travel
Survival,"Scouting Foray allows Jot to report back: From a hidden vantage point overlooking the camp – and there are several excellent and leafy trees in the area – the company can watch the outlaws and identify .    is being treated as an honoured guest by the outlaw king, but the other outlaws watch him suspiciously. He is not a prisoner, but he is under guard. One of the outlaws shadows wherever he goes.   sometimes goes walking alone in the woods, followed by his outlaw watcher; if the companions can deal with the watcher, then they could talk to – or take him prisoner. Again, as long as we continue to monitor and evade patrols...    ",Explore
Stealth,"Scouting Foray allows Jot to report back: From a hidden vantage point overlooking the camp – and there are several excellent and leafy trees in the area – the company can watch the outlaws and identify .    is being treated as an honoured guest by the outlaw king, but the other outlaws watch him suspiciously. He is not a prisoner, but he is under guard. One of the outlaws shadows wherever he goes.   sometimes goes walking alone in the woods, followed by his outlaw watcher; if the companions can deal with the watcher, then they could talk to – or take him prisoner. Again, as long as we continue to monitor and evade patrols...    ",stealth
Perception,"Scouting Foray allows Jot to report back: From a hidden vantage point overlooking the camp – and there are several excellent and leafy trees in the area – the company can watch the outlaws and identify .    is being treated as an honoured guest by the outlaw king, but the other outlaws watch him suspiciously. He is not a prisoner, but he is under guard. One of the outlaws shadows wherever he goes.   sometimes goes walking alone in the woods, followed by his outlaw watcher; if the companions can deal with the watcher, then they could talk to – or take him prisoner. Again, as long as we continue to monitor and evade patrols...    ",Awareness
Survival,Will do a quick check to help explore the area ,Explore
Survival,"Makes two sweeps in the day: in the early morning there is no sign that these   bandits ever get up and check their surroundings. They are lacking in wood skills, and in self-discipline, they are true animals of the Shadow. repeats his general checking of their area; the party do not want to be complacent and get surprised themselves! It becomes more interesting. Picking up some recent tracks as he scouts around in the early afternoon, he uses his Hunting techniques to see if there is a best way to follow these tracks. As he sees signs that the tracks are very fresh (a trampled flower, the sap oozing out of its just broken stem; and a half eaten apple core that has no sign of browning of the exposed flesh inside) he will slow to a stealthy style of movement ",Hunting
Stealth,"Makes two sweeps in the day: in the early morning there is no sign that these   bandits ever get up and check their surroundings. They are lacking in wood skills, and in self-discipline, they are true animals of the Shadow. repeats his general checking of their area; the party do not want to be complacent and get surprised themselves! It becomes more interesting. Picking up some recent tracks as he scouts around in the early afternoon, he uses his Hunting techniques to see if there is a best way to follow these tracks. As he sees signs that the tracks are very fresh (a trampled flower, the sap oozing out of its just broken stem; and a half eaten apple core that has no sign of browning of the exposed flesh inside) he will slow to a stealthy style of movement ",Stealth
Perception,"As he approaches he can only hear the noise made by a smaller than usual patrol. For instance he cannot hear more than two voices, but of course the others may be silent.Ah! There! He curses inside slightly. Only a few moments before he had made a small noise and some animal had moved in the bushes over to his right. (that's the unsuccessful Stealth roll) If the enemy had been alert, they would have identified the direction of the noise. As it was had countered the noise with the old hunting favourite of scaring a bird in a different tree and a different direction to confuse the prey animal. He had also dived into the brush. His bow was strung. Patient as an eagle, he waited to see if he had attracted anything or anyone. He had a limited view of the surroundings from his hideaway, but listened carefully to discern if anything was coming his way. ",awareness
Insight,"The wood was full of many little noises, the distant bellow of a stag, the ringing songs of tits and grosbeaks and muffled thumps of steps. lay on a bed of dry leaves sniffing their mossy smell and waiting for Jot ‘s signal.Then he heard a high cry, like the hawk’s one, and he knew he had to walk out of his hiding place to meet the two men whom he and his companions were waiting.After a few minutes walk he saw two men. The one who was walking ahead was younger and  handsome, an empty scabbard was hanging on his belt. The second was completely different:  his face was rough with many scars, he had a battered nose and strange sneer was stamped on his face, revealing a file of tainted and broken teeth. His dirty hands were clasping the shaft of a rusty spear. sighed and walked ahead to the strange couple. “Better do it, than to live with the fear of it” He said to himself, then he raised his right hand and said, speaking aloud to the two men:“Hail, my good men! Lucky to meet you in this wood, could you help me? I’m coming from Stonyford and I’m not familiar with this land…”His axe on his back and his bare hands in full view, he watched the two men getting close, trying to catch any sign of danger.  ",Insight
Performance,"“Ah, so I’m on the right way, Aren’t I? Glad to share my talents with Valter and you all!”Said smiling at the man and getting close to , then he patted the lad on the back saying:“Why the long face, my lad? Do you know whom I’m talking about, maybe?  Maybe you know that or the fair Brunhild, do you?”While he was talking to him he had turned his back on the thug, and when the young man raised his head cocked his eyes on him.Then he quickly turned to the other patting him on his back and hugging him with his left arm and exclaimed merrily:“So, be glad, both of you, because this evening you are going to listen the best skald of the Anduin’s Vales. Songs of love and valour, of dark treacheries and epic battles of beautiful ladies and mighty warriors!!”Then looking at the thug and bowing slightly his head he added with deference:“Mighty warriors as you surely are, my friend, aren’t you? But please, lead the way to your camp, I can’t wait to see that famous Valter and meet your friend .”Then, once they started walking along the path to the camp, began to whistle a tune, the agreed signal for his companions’ intervention. Few moments after he began to sing aloud so as to mask his companions’ approach and to distract the bandit’s attention. ",Song
Persuasion," has already scanned around for the best place to rise up from and fight (battle roll); thinks, "" I will wait until the guard is just passing me and point my spear right at the man's neck""fails to gain a battle advantage dice.But the two men are clearly surprised, 's diversion was sure to achieve that at least. There is a  slight movement from the guard; and prods the man's face - leaving a strong graze right across his right cheek. moves the point lower, because he is standing slightly behind the guard it runs across his shoulder and under the armpit: ""if you start to lift that sword out of your scabbard, my friend, I will run this through here and up under your ear. Have you ever seen how sheep are slaughtered in the Dalelands? Think about it.. think about your face as this spear point comes out from behind your eyes.. no one will remember your face without shuddering as they throw you in the pit."" is using his skills of persuasion to terrorise the guard. His low tense words are delivered with a almost venomous seething hatred. Slavers. Scum. Even the most obtuse of beings would realise that this is a man poised for the slightest excuse to run them through. It is likely that the other members of his party are almost as equally surprised.  ",Persuade
Persuasion,"Larsi having checked the field previous (Battle check), stepped forward, hand on sword, but it remained sheathed.""I would listen to the man."" Larsi said dismissively to the guard. His eyes moved to the other. ""You'd best be coming with us, it'd be for the the betterment of everyone here."" Larsi said, his voice more gruff than normal. ",Persuade
