skill,backward_text,original_name
Survival," Undertakings- All: through your combined efforts, Rivendell will be opened as a Sanctuary. The main benefit (aside from getting to spend future Fellowship Phases there) is being able to find it with just a straight Travel roll! (you needed Aiwiel last time).- : a song - great stuff!- : another song - excellent! Now we need to remember to sing them...Can each of you please narrate your songwriting efforts? - : great roll (GS) for your Researching Lore Undertaking. Can you narrate your research efforts, and I’ll follow up with what you discover? - : how about “Guard the Last Bridge”?  I’m sure the elves patrol the road between Rivendell and the Last Bridge, perhaps with the help of the Dúnedain - I’ll let you take some artistic license. And as you suggest, let’s just use the same table as for “Guard the East Road”.  Go ahead and roll/narrate.Also: - Jamie: I like your idea of having begin his dwarven smithing in Rivendell. I do think that his creation should be finished in the forges of Erebor though. We can work out the timing details later. Happy to preempt this with some RP with Damron if you wish.Is that everything?  What have I forgotten? ",Travel
Perception, Awareness rolls for all.  target 16 pls ,Awareness
Survival," OOC: All members of a fellowship have to  agree to make the place they are staying at during a Fellowship Phase into a new sanctuary. Usually this permits the group to automatically return and stay without having to be re-introduced etc). In Rivendell it means that we will still need a successful Travel Roll to return to Rivendell. (Normally, we would need to be guided there like Elrond's escorts for Irime did this time.)  Imagine trying to get back here - we would remain lost in this part of the world if we did not know the clues to find the Hidden Valley.   Lost and exposed to the dangers of this region - and Baldor would know all about the Trollshaws....Personally I think we should do this, as then we have somewhere to go in this otherwise empty and lonely land. It would mean we could come back and confer with the folk of Rivendell on a different occasion, and rest before we went back to Wilderland. If we just leave Rivendell after a rest, then we will not be able to return without help.(other than that can only try to  reduce some Shadow.)  ",Travel
Investigation,"  gazed into the cave, trying to determine just how far the darkness before him went on.He removed his backpack, and pulled out one of the crude torches that he had fashioned in the forest when they came upon the spider webs. ’s impromptu web-fire had meant that the torches never got used, and had simply packed them into his bag in case they were ever needed.And now it seemed they were...Leaving his backpack and shield  (and handing the Roadwarden’s Staff to ), he lit the brand and began to walk cautiously into the darkness, hoping that his journey would not last long.OOC: let me know if an Explore or Search roll is needed. ",Search
Perception," The familiar change in the chamber one last time for the blue key, revealing a corridor that is illuminated by weakened everybright lanterns (only providing shadowy illumination).Any PC who makes a successful DC 15 Listen check can hear... splashing water and indistinct yaps and growls from area W10.This corridor of plain gray stone extends ahead of you all. In the flickering light from the dim everbright lanterns embedded in the walls, you see a few trails of crusted blood running along the floor, as if someone was dragged down the corridor. At the far end of the hall you see three portals: an open archway to the left, a door propped open straight ahead, and a sealed metal door to the right. ",Listen
Perception, make an awareness Roll? (perception) out the window/door into the night? ,Awareness
Medicine," I almost forgot; Banog’s horse was hurt in the battle!As I recall, a Healing roll is needed, but knows nothing about Healing (and doesn’t have the Advancement points to buy a level in it).Any chance of finding an actual healer (NPC or otherwise)? ",Healing
Perception," ""I get bored here and we need new blood from time to time, so yes I invited you here. From time to time I allow a few people to enter my lands in the hopes of livening up the place for a time. But I must be off, there are thing to do in preparation.""He then turns and enters his carriage.(Roll perception checks) ",Perception
Religion," Ismark standing so the priest can't see gestures sliding his finger across his throat. The priest rolls his shoulders in dejection having tried prayer for almost a full year.History, Arcana or Religion checks to those who want to try to make a plan. Or just let me know what you want to do. (Only of one type per person) ",Religion
Perception, Amarla is waiting for Qanhaz.OOC: Perception roll ,Perception
Perception, Gimme a Perception check to case the joint form the outside ,Perception
